Name,Score
Grok 4,87.7
GPT-5(high),85.4
o3-pro,84.5
Gemini 2.5Pro,84.4
GPT-5(medium),84.2
Gemini 2.5Pro (Mar),83.6
GPT-5 mini(high),82.8
o3,82.7
Gemini 2.5Pro (May),82.2
DeepSeekR1 0528,81.3
Claude 4.1Opus,80.9
GPT-5(low),80.8
GPT-5 mini(medium),80.3
Claude 4Opus,79.6
Grok 3mini Reasoning (high),79.1
Gemini 2.5Flash,79.0
Qwen3 235B2507,79.0
o4-mini(high),78.4
gpt-oss-120B(high),78.2
GLM-4.5,78.2
DeepSeekV3.1,77.9
Claude 4Sonnet,77.7
o3-mini(high),77.3
Claude 3.7Sonnet,77.2
Kimi K2 0905,76.7
Kimi K2,76.6
Qwen3 235B 2507,75.3
o3-mini,74.8
LlamaNemotron Super 49B v1.5,74.8
o1,74.7
EXAONE 4.032B,73.9
DeepSeek V3.1,73.5
GLM-4.5-Air,73.3
LlamaNemotron Ultra,72.8
Grok CodeFast 1,72.7
DeepSeekR1 (Jan),70.8
Qwen3 30B2507,70.7
Claude 4 Opus,70.1
Gemini 2.0Flash Thinking exp. (Jan),70.1
Qwen3 235B,70.0
Hermes 4 -Llama-3.1 70B,69.9
Gemini 2.5Flash,69.8
MiniMax M180k,69.7
Grok 3,69.3
GPT-5 mini(minimal),68.7
Solar Pro2,68.7
GLM-4.5V,68.4
Gemini 2.5Flash,68.3
Claude 4 Sonnet,68.3
MiniMax M140k,68.2
MagistralMedium,67.9
GPT-5 nano(high),67.6
GPT-5 (minimal),67.3
Llama 4Maverick,67.1
GPT-5 nano(medium),67.0
Qwen3 32B,66.8
Qwen3 4B2507,66.7
GPT-4.1,66.6
GPT-4.1 mini,66.4
Qwen3 30B 2507,65.9
Claude 3.7Sonnet,65.6
GPT-4o (Mar),65.5
DeepSeek V30324,65.5
Llama 3.3Nemotron Super 49B,64.3
MagistralSmall,64.1
Gemini 2.0Flash (exp),63.6
EXAONE 4.0 32B,62.8
Gemini 2.5Flash-Lite,62.5
Gemini 2.0Flash,62.3
SonarReasoning,62.3
Gemini 2.0 ProExperimental,62.2
Qwen3 Coder480B,61.8
gpt-oss-20B(high),61.7
Qwen3 30B,61.6
DeepSeekR1 Distill Qwen 32B,61.5
Qwen3 235B,61.3
DeepSeekR1 0528 Qwen3 8B,61.2
Qwen3 14B,60.4
o1-mini,60.3
Claude 3.5Sonnet (Oct),59.9
Gemini 2.5Flash,59.4
QwQ-32B,59.3
Gemini 1.5 Pro(Sep),58.9
Qwen3 8B,58.9
Mistral Medium3.1,58.8
Llama 4 Scout,58.7
Qwen2.5 Max,58.7
Mistral Medium3,57.8
MiniMax-Text-01,57.8
Sonar Pro,57.8
Solar Pro2,57.8
Phi-4,57.5
GLM-4.5V,57.3
NVIDIANemotron Nano 9B V2,57.0
Nova Premier,56.9
Solar Pro 2,56.1
Claude 3.5Sonnet (June),56.0
NVIDIA NemotronNano 9B V2,55.7
DeepSeek V3(Dec),55.7
QwQ32B-Preview,55.7
Solar Pro 2,54.4
GPT-4o (Nov),54.3
Gemini 2.0Flash-Lite (Preview),54.2
Hermes 4 405B,53.6
Gemini 2.0Flash-Lite (Feb),53.5
Qwen3 32B,53.5
Reka Flash3,52.9
Command A,52.7
GPT-4o (May),52.6
Qwen3 4B,52.2
GPT-4o (Aug),52.1
Llama 3.3Nemotron Super 49B v1,51.7
Qwen3 Coder 30B,51.6
Tulu3 405B,51.6
Llama 3.1 405B,51.5
Exaone 4.01.2B,51.5
Qwen3 30B,51.5
GPT-4.1 nano,51.2
GPT-4o(ChatGPT),51.1
Grok 2,51.0
Mistral Small3.2,50.5
Pixtral Large,50.5
Nova Pro,49.9
Llama 3.3 70B,49.8
Devstral Medium,49.2
Hermes 4 70B,49.1
Qwen2.5 72B,49.1
Claude 3 Opus,48.9
Mistral Large 2(Nov),48.6
DeepSeekR1 Distill Qwen 14B,48.4
Llama NemotronSuper 49B v1.5,48.1
Gemini 2.5Flash-Lite,47.4
Mistral Large 2(Jul),47.2
Sonar,47.1
Grok Beta,47.1
Qwen3 14B,47.0
Qwen2.5Instruct 32B,46.6
Llama 3.1Nemotron 70B,46.5
Gemini 1.5Flash (Sep),46.3
Mistral Small 3,46.2
Mistral Small3.1,45.4
Qwen3 8B,45.2
Devstral Small(May),43.4
Nova Lite,43.3
Llama 3.2 90B(Vision),43.2
GPT-5 nano(minimal),42.8
Gemma 3 27B,42.8
Jamba 1.5 Large,42.7
GPT-4o mini,42.6
Exaone 4.0 1.2B,42.4
Mistral Saba,42.4
Qwen2.5 Coder32B,41.7
Devstral Small,41.4
Qwen2.5 Turbo,41.0
Llama 3.1 70B,40.9
Llama 3.1Nemotron Nano 4B v1.1,40.8
Claude 3.5Haiku,40.8
