Name,Score
GPT-5 (high),94.3
gpt-oss-120B(high),93.4
Grok 4,92.7
GPT-5 (medium),91.7
Qwen3 235B 2507(Reasoning),91
o4-mini (high),90.7
o3,88.3
Gemini 2.5 Pro,87.7
GPT-5 mini,85
Grok 3 miniReasoning(high),84.7
GPT-5 (low),83
Qwen3 235B(Reasoning),82
EXAONE 4.0 32B(Reasoning),80
GPT-5 nano,78.3
Llama NemotronSuper 49B v1.5(Reasoning),76.7
DeepSeek R10528,76
Claude 4 SonnetThinking,74.3
GLM-4.5,73.7
Gemini 2.5Flash(Reasoning),73.3
Claude 4 OpusThinking,73.3
Qwen3 32B(Reasoning),73
Qwen3 30B(Reasoning),72.3
Qwen3 235B 2507(Non-reasoning),71.7
Llama NemotronUltra Reasoning,63.7
gpt-oss-20B(high),61.7
Solar Pro 2(Reasoning),61.3
MiniMax M1 80k,61
Gemini 2.5Flash,60.3
Kimi K2,57
Magistral Small,41.3
DeepSeek V30324 (Mar '25),41
MagistralMedium,40.3
Qwen3 Coder480B,39.3
Mistral Medium3.1,38.3
Claude 4 Sonnet,38
Claude 4 Opus,36.3
GPT-4.1,34.7
GPT-5 (minimal),31.7
Mistral Medium3,30.3
Solar Pro 2,30
Mistral Small3.2,27
GPT-4o (March2025),25.7
Qwen3 235B,23.7
Gemini 2.0Flash,21.7
Qwen3 30B,21.7
Claude 3.7Sonnet,21
Gemma 3 27B,20.7
Qwen3 32B,19.7
Llama 4Maverick,19.3
Gemma 3 12B,18.3
Phi-4,18
Nova Premier,17.3
GPT-4o mini,14.7
Gemma 3n E4B,14.3
Llama 4 Scout,14
Command A,13
Gemma 3 4B,12.7
Llama 3.3 70B,7.7
Nova Pro,7
Nova Lite,7
Granite 3.3 8B,6.7
GPT-4o (Nov'24),6
Nova Micro,6
Devstral Medium,4.7
Llama 3.1 8B,4.3
Mistral Small3.1,3.7
