Name,Organization,Score
gemini-2.5-pro,Google,1451
Anthropicclaude-opus-4-1-20250805-thinking-16k,Anthropic,1447
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,Anthropic,1445
gpt-4.5-preview-2025-02-27,OpenAI,1441
chatgpt-4o-latest-20250326,OpenAI,1440
o3-2025-04-16,OpenAI,1440
Anthropicclaude-sonnet-4-5-20250929,Anthropic,1438
gpt-5-high,OpenAI,1437
Anthropicclaude-opus-4-1-20250805,Anthropic,1437
qwen3-max-preview,Alibaba,1434
gpt-5-chat,OpenAI,1425
qwen3-max-2025-09-23,Alibaba,1423
glm-4.6,Z.ai,1422
grok-4-fast,xAI,1420
Anthropicclaude-opus-4-20250514-thinking-16k,Anthropic,1419
deepseek-v3.2-exp-thinking,DeepSeek AI,1419
qwen3-vl-235b-a22b-instruct,Alibaba,1418
qwen3-235b-a22b-instruct-2507,Alibaba,1418
deepseek-r1-0528,DeepSeek,1417
MoonshotAIkimi-k2-0905-preview,Moonshot,1417
deepseek-v3.1,DeepSeek,1416
deepseek-v3.1-thinking,DeepSeek,1415
MoonshotAIkimi-k2-0711-preview,Moonshot,1415
deepseek-v3.1-terminus,DeepSeek AI,1414
deepseek-v3.1-terminus-thinking,DeepSeek AI,1413
grok-4-0709,xAI,1413
Anthropicclaude-opus-4-20250514,Anthropic,1411
deepseek-v3.2-exp,DeepSeek AI,1408
gpt-4.1-2025-04-14,OpenAI,1411
grok-3-preview-02-24,xAI,1409
mistral-medium-2508,Mistral,1406
glm-4.5,Z.ai,1406
gemini-2.5-flash-preview-09-2025,Google,1404
Anthropicclaude-haiku-4-5-20251001,Anthropic,1397
qwen3-next-80b-a3b-instruct,Alibaba,1402
o1-2024-12-17,OpenAI,1400
longcat-flash-chat,Meituan,1398
qwen3-235b-a22b-thinking-2507,Alibaba,1397
Anthropicclaude-sonnet-4-20250514-thinking-32k,Anthropic,1398
qwen3-235b-a22b-no-thinking,Alibaba,1398
gpt-5-mini-high,OpenAI,1395
deepseek-r1,DeepSeek,1394
qwen3-vl-235b-a22b-thinking,Alibaba,1392
deepseek-v3-0324,DeepSeek,1391
o4-mini-2025-04-16,OpenAI,1391
mai-1-preview,Microsoft AI,1389
