Name,Score
GPT-5 (high),5.7
GPT-5 (low),1.0999999999999999
GPT-5 (medium),0
GPT-5 (minimal),0
GPT-5 Codex (high),5.1
GPT-5 mini (high),0
GPT-5 mini (medium),1.4000000000000001
GPT-5 mini (minimal),0
GPT-5 nano (high),0
GPT-5 nano (medium),0
GPT-5 nano (minimal),0
GPT-5.1 (Non-reasoning),0
GPT-5.1 (high),4.9
GPT-5.1 Codex (high),5.7
GPT-5.1 Codex mini (high),0
GPT-5.2 (Non-reasoning),0.6
GPT-5.2 (medium),7.9
GPT-5.2 (xhigh),11.600000000000001
Claude 4 Sonnet (Non-reasoning),1.0999999999999999
Claude 4 Sonnet (Reasoning),0.3
Claude 4.5 Haiku (Non-reasoning),0
Claude 4.5 Haiku (Reasoning),0
Claude 4.5 Sonnet (Non-reasoning),0
Claude 4.5 Sonnet (Reasoning),1.0999999999999999
Claude Opus 4.5 (Non-reasoning),0.3
Claude Opus 4.5 (Reasoning),4.6
Gemini 3 Flash Preview (Non-reasoning),1.4000000000000001
Gemini 3 Flash Preview (Reasoning),8.6
Gemini 3 Pro Preview (high),9.1
Gemini 3 Pro Preview (low),0
GLM-4.6 (Non-reasoning),0
GLM-4.6 (Reasoning),1.0999999999999999
GLM-4.6V (Non-reasoning),0
GLM-4.6V (Reasoning),0
GLM-4.7 (Non-reasoning),0
GLM-4.7 (Reasoning),1.7000000000000002
Grok 4,2
Grok 4 Fast (Non-reasoning),0
Grok 4 Fast (Reasoning),2.9000000000000004
Grok 4.1 Fast (Non-reasoning),0
Grok 4.1 Fast (Reasoning),2.9000000000000004
DeepSeek V3 (Dec '24),0
DeepSeek V3 0324,0
DeepSeek V3.2 (Non-reasoning),0.8999999999999999
DeepSeek V3.2 (Reasoning),2.9000000000000004
DeepSeek V3.2 Exp (Non-reasoning),1.4000000000000001
DeepSeek V3.2 Exp (Reasoning),1.4000000000000001
DeepSeek V3.2 Speciale,7.3999999999999995
Kimi K2,0
Kimi K2 0905,0
Kimi K2 Thinking,2.6
MiniMax-M2,0.8999999999999999
MiniMax-M2.1,0.3
MiMo-V2-Flash (Non-reasoning),0
MiMo-V2-Flash (Reasoning),4.3
KAT-Coder-Pro V1,0
Nova 2.0 Lite (Non-reasoning),0
Nova 2.0 Lite (low),0
Nova 2.0 Lite (medium),0
Nova 2.0 Omni (Non-reasoning),0
Nova 2.0 Omni (low),0
Nova 2.0 Omni (medium),0
Nova 2.0 Pro Preview (Non-reasoning),0
Nova 2.0 Pro Preview (low),0
Nova 2.0 Pro Preview (medium),0
Claude 3.7 Sonnet (Non-reasoning),0
Claude 3.7 Sonnet (Reasoning),0.8999999999999999
Gemini 2.5 Flash (Non-reasoning),1.4000000000000001
Gemini 2.5 Flash (Reasoning),1.0999999999999999
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),0
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),0.3
Gemini 2.5 Flash-Lite (Non-reasoning),0
Gemini 2.5 Flash-Lite (Reasoning),0
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),0
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),0
Gemini 2.5 Pro,2.6
DeepSeek V3.1 (Non-reasoning),0
DeepSeek V3.1 (Reasoning),2
DeepSeek V3.1 Terminus (Non-reasoning),0
DeepSeek V3.1 Terminus (Reasoning),1.7000000000000002
Doubao Seed Code,0.3
o4-mini (high),0.6
gpt-oss-120B (high),1.0999999999999999
gpt-oss-120B (low),0
gpt-oss-20B (high),1.4000000000000001
gpt-oss-20B (low),0
Grok 3,0
Grok 3 mini Reasoning (high),0.6
Qwen3 0.6B (Non-reasoning),0
Qwen3 0.6B (Reasoning),0
Qwen3 1.7B (Non-reasoning),0
Qwen3 1.7B (Reasoning),0
Qwen3 14B (Non-reasoning),0
Qwen3 14B (Reasoning),0
Qwen3 235B A22B (Non-reasoning),0
Qwen3 235B A22B (Reasoning),0
Qwen3 235B A22B 2507 (Reasoning),0
Qwen3 235B A22B 2507 Instruct,0
Qwen3 30B A3B (Non-reasoning),0
Qwen3 30B A3B (Reasoning),0
Qwen3 30B A3B 2507 (Reasoning),0.3
Qwen3 30B A3B 2507 Instruct,0
Qwen3 32B (Reasoning),0.3
Qwen3 4B 2507 (Reasoning),0
Qwen3 4B 2507 Instruct,0
Qwen3 8B (Non-reasoning),0
Qwen3 8B (Reasoning),0
Qwen3 Coder 30B A3B Instruct,0
Qwen3 Coder 480B A35B Instruct,0
Qwen3 Max,0
Qwen3 Max (Preview),0.8999999999999999
Qwen3 Max Thinking,0
Qwen3 Next 80B A3B (Reasoning),0
Qwen3 Next 80B A3B Instruct,0
Qwen3 Omni 30B A3B (Reasoning),0
Qwen3 Omni 30B A3B Instruct,0
Qwen3 VL 235B A22B (Reasoning),0
Qwen3 VL 235B A22B Instruct,0
Qwen3 VL 30B A3B (Reasoning),0
Qwen3 VL 30B A3B Instruct,0
Qwen3 VL 32B (Reasoning),0
Qwen3 VL 32B Instruct,0
Qwen3 VL 8B (Reasoning),0.3
Qwen3 VL 8B Instruct,0
EXAONE 4.0 32B (Non-reasoning),0
EXAONE 4.0 32B (Reasoning),0
Exaone 4.0 1.2B (Non-reasoning),0
Exaone 4.0 1.2B (Reasoning),0
K-EXAONE (Non-reasoning),0
K-EXAONE (Reasoning),1.0999999999999999
ERNIE 5.0 Thinking Preview,1.4000000000000001
Apriel-v1.5-15B-Thinker,1.0999999999999999
Apriel-v1.6-15B-Thinker,0.3
Magistral Medium 1.2,0.3
DeepSeek R1 (Jan '25),0.6
DeepSeek R1 0528 (May '25),1.4000000000000001
DeepSeek R1 0528 Qwen3 8B,0
DeepSeek R1 Distill Llama 70B,0
GLM-4.5 (Reasoning),0
GLM-4.5-Air,0
GLM-4.5V (Non-reasoning),0
GLM-4.5V (Reasoning),0
GPT-4.1,0
GPT-4.1 mini,0
GPT-4.1 nano,0
Seed-OSS-36B-Instruct,0
NVIDIA Nemotron 3 Nano 30B A3B (Non-reasoning),0
NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),0.8999999999999999
NVIDIA Nemotron Nano 12B v2 VL (Non-reasoning),0
NVIDIA Nemotron Nano 12B v2 VL (Reasoning),0
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),0
NVIDIA Nemotron Nano 9B V2 (Reasoning),0
MiniMax M1 80k,0
HyperCLOVA X SEED Think (32B),0
Mi:dm K 2.5 Pro,0
Mi:dm K 2.5 Pro Preview,0
Mistral Large 3,0
INTELLECT-3,0.3
Devstral 2,0
Devstral Medium,0
Devstral Small (Jul '25),0
Devstral Small (May '25),0
Devstral Small 2,0
Mistral 7B Instruct,0
Mistral Large 2 (Nov '24),0
Mistral Medium 3,0
Mistral Medium 3.1,0
Mistral Small 3.1,0
Mistral Small 3.2,0
K2-V2 (high),0
K2-V2 (low),0
K2-V2 (medium),0
Ling-1T,0.6
Ling-flash-2.0,0
Ling-mini-2.0,0
Llama Nemotron Super 49B v1.5 (Non-reasoning),0
Llama Nemotron Super 49B v1.5 (Reasoning),0
Nova Lite,0
Nova Micro,0
Nova Premier,0
Nova Pro,0
