Name,Organization,Score
gemini-2.5-pro,Google,1452
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,Anthropic,1448
Anthropicclaude-opus-4-1-20250805-thinking-16k,Anthropic,1448
gpt-4.5-preview-2025-02-27,OpenAI,1442
Anthropicclaude-opus-4-1-20250805,Anthropic,1439
chatgpt-4o-latest-20250326,OpenAI,1438
gpt-5-high,OpenAI,1437
Anthropicclaude-sonnet-4-5-20250929,Anthropic,1436
o3-2025-04-16,OpenAI,1433
qwen3-max-preview,Alibaba,1433
ernie-5.0-preview-1022,Baidu,1432
glm-4.6,Z.ai,1429
gpt-5-chat,OpenAI,1425
qwen3-max-2025-09-23,Alibaba,1424
Anthropicclaude-opus-4-20250514-thinking-16k,Anthropic,1423
deepseek-v3.2-exp-thinking,DeepSeek AI,1421
qwen3-235b-a22b-instruct-2507,Alibaba,1420
grok-4-fast,xAI,1420
deepseek-r1-0528,DeepSeek,1417
MoonshotAIkimi-k2-0905-preview,Moonshot,1417
deepseek-v3.1,DeepSeek,1416
deepseek-v3.1-thinking,DeepSeek,1416
MoonshotAIkimi-k2-0711-preview,Moonshot,1415
qwen3-vl-235b-a22b-instruct,Alibaba,1415
deepseek-v3.1-terminus,DeepSeek AI,1415
deepseek-v3.1-terminus-thinking,DeepSeek AI,1414
deepseek-v3.2-exp,DeepSeek AI,1413
gpt-4.1-2025-04-14,OpenAI,1412
Anthropicclaude-opus-4-20250514,Anthropic,1412
mistral-medium-2508,Mistral,1410
grok-3-preview-02-24,xAI,1410
grok-4-0709,xAI,1409
glm-4.5,Z.ai,1408
gemini-2.5-flash,Google,1408
gemini-2.5-flash-preview-09-2025,Google,1406
Anthropicclaude-haiku-4-5-20251001,Anthropic,1403
qwen3-next-80b-a3b-instruct,Alibaba,1401
o1-2024-12-17,OpenAI,1400
Anthropicclaude-sonnet-4-20250514-thinking-32k,Anthropic,1399
longcat-flash-chat,Meituan,1399
qwen3-235b-a22b-no-thinking,Alibaba,1399
qwen3-235b-a22b-thinking-2507,Alibaba,1397
deepseek-r1,DeepSeek,1395
qwen3-vl-235b-a22b-thinking,Alibaba,1393
gpt-5-mini-high,OpenAI,1392
deepseek-v3-0324,DeepSeek,1391
o4-mini-2025-04-16,OpenAI,1391
mai-1-preview,Microsoft AI,1390
Anthropicclaude-sonnet-4-20250514,Anthropic,1389
o1-preview,OpenAI,1386
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,Anthropic,1386
qwen3-coder-480b-a35b-instruct,Alibaba,1385
Tencenthunyuan-t1-20250711,Tencent,1385
mistral-medium-2505,Mistral,1382
qwen3-30b-a3b-instruct-2507,Alibaba,1382
gpt-4.1-mini-2025-04-14,OpenAI,1380
Tencenthunyuan-turbos-20250416,Tencent,1380
gemini-2.5-flash-lite-preview-09-2025-no-thinking,Google,1379
gemini-2.5-flash-lite-preview-06-17-thinking,Google,1375
qwen3-235b-a22b,Alibaba,1373
qwen2.5-max,Alibaba,1372
AnthropicClaude 3.5 Sonnet (10/22),Anthropic,1371
glm-4.5-air,Z.ai,1371
qwen3-next-80b-a3b-thinking,Alibaba,1367
Minimaxminimax-m1,MiniMax,1366
gemma-3-27b-it,Google,1364
grok-3-mini-high,xAI,1362
o3-mini-high,OpenAI,1362
grok-3-mini-beta,xAI,1357
deepseek-v3,DeepSeek,1357
mistral-small-2506,Mistral,1354
gemini-2.0-flash-lite-preview-02-05,Google,1352
glm-4.5v,Z.ai,1351
Coherecommand-a-03-2025,Cohere,1351
Gemini-1.5-Pro-002,Google,1351
gpt-oss-120b,OpenAI,1351
