Name,Score
gemini-2.5-pro,1255
chatgpt-4o-latest-20250326,1243
gpt-4.5-preview-2025-02-27,1221
gpt-5-chat,1220
gemini-2.5-flash,1215
o3-2025-04-16,1208
gpt-5-high,1203
gpt-4.1-mini-2025-04-14,1200
gpt-4.1-2025-04-14,1193
gpt-5-mini-high,1188
o1-2024-12-17,1188
claude-sonnet-4-20250514-thinking-32k,1186
claude-opus-4-20250514-thinking-16k,1186
o4-mini-2025-04-16,1186
claude-3-7-sonnet-20250219-thinking-32k,1179
grok-4-0709,1175
gemma-3-27b-it,1175
claude-sonnet-4-20250514,1173
claude-opus-4-20250514,1172
Gemini-1.5-Pro-002,1173
gpt-5-nano-high,1170
qwen-vl-max-2025-08-13,1166
gpt-4o-2024-05-13,1158
Claude 3.5 Sonnet (10/22),1155
glm-4.5v,1153
Tencenthunyuan-large-vision,1148
Stepfunstep-3,1148
Stepfunstep-1o-turbo-202506,1145
mistral-medium-2505,1145
Claude 3.5 Sonnet (06/20),1142
mistral-small-2506,1140
llama-4-scout-17b-16e-instruct,1135
Gemini-1.5-Flash-002,1134
llama-4-maverick-17b-128e-instruct,1133
gemini-2.0-flash-lite-preview-02-05,1127
claude-3-5-haiku-20241022,1126
Stepfunstep-1o-vision-32k-highres,1121
mistral-medium-2508,1120
qwen2.5-vl-32b-instruct,1113
qwen2.5-vl-72b-instruct,1118
GPT-4o (08/06),1113
gemini-1.5-pro-001,1112
gpt-4-turbo-2024-04-09,1108
mistral-small-3.1-24b-instruct-2503,1106
GPT-4o-mini (07/18),1093
pixtral-large-2411,1090
gpt-4.1-nano-2025-04-14,1082
qwen-vl-max-1119,1082
qwen2-vl-72b,1081
gemini-1.5-flash-8b-001,1066
claude-3-opus-20240229,1060
Stepfunstep-1v-32k,1058
gemini-1.5-flash-001,1056
molmo-72b-0924,1043
Tencenthunyuan-standard-vision-2024-12-31,1039
llama-3.2-vision-90b-instruct,1028
qwen2-vl-7b-instruct,1028
pixtral-12b-2409,1022
internvl2-26b,1021
amazon-nova-lite-v1.0,1019
amazon-nova-pro-v1.0,1017
claude-3-sonnet-20240229,1018
01.AIyi-vision,1003
Coherec4ai-aya-vision-32b,996
claude-3-haiku-20240307,1000
molmo-7b-d-0924,993
Nvidianvila-internal-15b-v1,986
llama-3.2-vision-11b-instruct,987
llava-onevision-qwen2-72b-ov,977
llava-v1.6-34b,966
minicpm-v-2_6,962
cogvlm2-llama3-chat-19b,961
internvl2-4b,955
Azurephi-3.5-vision-instruct,918
Azurephi-3-vision-128k-instruct,884
