Name,Score
gemini-3-pro,1489
grok-4.1-thinking,1477
gemini-3-flash,1471
claude-opus-4-5-20251101-thinking-32k,1468
claude-opus-4-5-20251101,1467
grok-4.1,1466
gemini-3-flash (thinking-minimal),1464
ernie-5.0-0110,1460
gpt-5.1-high,1460
claude-sonnet-4-5-20250929-thinking-32k,1452
gemini-2.5-pro,1450
claude-sonnet-4-5-20250929,1450
claude-opus-4-1-20250805-thinking-16k,1449
ernie-5.0-preview-1203,1447
claude-opus-4-1-20250805,1445
gpt-4.5-preview-2025-02-27,1444
gpt-5.2-high,1444
glm-4.7,1443
chatgpt-4o-latest-20250326,1442
gpt-5.2,1441
gpt-5.1,1436
gpt-5-high,1435
qwen3-max-preview,1434
o3-2025-04-16,1433
grok-4-1-fast-reasoning,1430
kimi-k2-thinking-turbo,1429
ernie-5.0-preview-1103,1428
gpt-5-chat,1426
qwen3-max-2025-09-23,1424
glm-4.6,1424
claude-opus-4-20250514-thinking-16k,1424
deepseek-v3.2-exp,1423
deepseek-v3.2-exp-thinking,1423
qwen3-235b-a22b-instruct-2507,1423
grok-4-fast-chat,1422
deepseek-v3.2-thinking,1420
deepseek-r1-0528,1418
kimi-k2-0905-preview,1418
deepseek-v3.2,1418
kimi-k2-0711-preview,1417
ernie-5.0-preview-1022,1417
deepseek-v3.1,1417
deepseek-v3.1-thinking,1417
deepseek-v3.1-terminus-thinking,1416
deepseek-v3.1-terminus,1416
qwen3-vl-235b-a22b-instruct,1415
claude-opus-4-20250514,1414
gpt-4.1-2025-04-14,1413
mistral-large-3,1413
mistral-medium-2508,1412
grok-3-preview-02-24,1411
grok-4-0709,1410
glm-4.5,1409
gemini-2.5-flash,1409
gemini-2.5-flash-preview-09-2025,1404
grok-4-fast-reasoning,1404
claude-haiku-4-5-20251001,1403
o1-2024-12-17,1402
qwen3-235b-a22b-no-thinking,1401
qwen3-next-80b-a3b-instruct,1401
claude-sonnet-4-20250514-thinking-32k,1401
longcat-flash-chat,1399
qwen3-235b-a22b-thinking-2507,1398
deepseek-r1,1398
amazon-nova-experimental-chat-12-10,1396
qwen3-vl-235b-a22b-thinking,1395
mimo-v2-flash (non-thinking),1395
deepseek-v3-0324,1394
hunyuan-vision-1.5-thinking,1393
mai-1-preview,1391
o4-mini-2025-04-16,1391
gpt-5-mini-high,1391
claude-sonnet-4-20250514,1390
claude-3-7-sonnet-20250219-thinking-32k,1389
o1-preview,1389
hunyuan-t1-20250711,1387
qwen3-coder-480b-a35b-instruct,1386
mistral-medium-2505,1384
minimax-m2.1-preview,1383
qwen3-30b-a3b-instruct-2507,1383
hunyuan-turbos-20250416,1382
gpt-4.1-mini-2025-04-14,1382
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1379
gemini-2.5-flash-lite-preview-06-17-thinking,1375
qwen3-235b-a22b,1374
qwen2.5-max,1374
claude-3-5-sonnet-20241022,1373
claude-3-7-sonnet-20250219,1372
glm-4.5-air,1371
qwen3-next-80b-a3b-thinking,1369
minimax-m1,1367
gemma-3-27b-it,1365
o3-mini-high,1364
amazon-nova-experimental-chat-11-10,1363
grok-3-mini-high,1362
gemini-2.0-flash-001,1361
deepseek-v3,1359
grok-3-mini-beta,1356
mistral-small-2506,1356
intellect-3,1355
gpt-oss-120b,1354
gemini-2.0-flash-lite-preview-02-05,1353
glm-4.5v,1353
command-a-03-2025,1353
gemini-1.5-pro-002,1352
hunyuan-turbos-20250226,1349
o3-mini,1348
llama-3.1-nemotron-ultra-253b-v1,1347
