Name,Date,Score
Human Expert (High),2024-01-31,88.6
DreamPRM-1.5 (GPT-5-mini w/ thinking),2025-09-05,84.6
GPT-5 w/ thinking,2025-08-07,84.2
Gemini 2.5 Pro Deep-Think,2025-05-20,84.0
o3,2025-04-16,82.9
Human Expert (Medium),2024-01-31,82.6
o4-mini,2025-04-16,81.6
dots.vlm1,2025-08-05,80.1
Gemini 2.5 Flash 05-20,2025-05-20,79.7
Gemini 2.5 Pro 05-06,2025-05-06,79.6
o1,2024-09-12,78.2
Grok 3 Beta,2025-02-19,78.0
Seed 1.5-VL Thinking,2025-05-13,77.9
Intern-S1,2025-08-04,77.7
Claude Opus 4.1,2025-08-05,77.1
Claude Opus 4,2025-05-23,76.5
Human Expert (Low),2024-01-31,76.2
Llama 4 Behemoth,2025-04-05,76.1
Skywork-R1V3-38B,2025-07-05,76.0
GLM-4.5V w/ Thinking,2025-08-11,75.4
Claude 3.7 Sonnet,2025-02-24,75.0
Seed 1.6-Thinking,2025-06-25,74.8
GPT-5 w/o thinking,2025-08-07,74.4
GPT���4.5,2025-02-28,74.4
Claude Sonnet 4,2025-05-23,74.4
Seed 1.5-VL,2025-05-13,73.6
Skywork-R1V2-38B,2025-04-28,73.6
Llama 4 Maverick,2025-04-05,73.4
Gemini 2.0 Pro,2025-02-05,72.7
KiQ-v0,2025-08-31,72.6
InternVL3-78B,2025-04-11,72.2
LLaVA-Critic-R1+,2025-08-30,71.9
Gemini 2.0 Flash,2025-02-05,71.7
GPT-4o (1120),2024-11-20,70.7
MiMo-VL 7B-RL-2508 w/ Thinking,2025-08-08,70.6
Spark4.0-Turbo,2025-01-22,70.4
QVQ-72B-Preview,2024-12-25,70.3
InternVL2.5-78B,2024-12-05,70.1
InternVL3-38B,2025-04-11,70.1
LLaVA-Critic-R1,2025-08-30,69.7
Llama 4 Scout,2025-04-05,69.4
GPT-4o (0513),2024-05-13,69.1
Skywork-R1V-38B,2025-04-28,69.0
Claude 3.5 Sonnet,2024-06-20,68.3
Gemini 2.0 Flash-Lite,2025-02-05,68.0
GLM-4.1V w/ Thinking,2025-07-01,68.0
Nova Premier,2025-4-30,68.0
InternVL3-14B,2025-04-11,67.1
MiMo-VL 7B-RL,2025-06-04,66.7
Gemini 1.5 Pro (0801),2024-08-01,65.8
Ovis2-34B,2025-03-25,65.6
Gemma3-27B,2025-03-12,64.9
MiMo-VL 7B-SFT,2025-06-04,64.6
Qwen2-VL-72B,2024-08-29,64.5
Qwen2.5-VL 72B,2025-02-19,64.5
InternVL2.5-38B,2024-12-05,63.9
MiMo-VL 7B-RL-2508 w/o Thinking,2025-08-08,63.1
