Name,Score
Claude Opus 4.6,48.5
GPT-5.2(xhigh) reasoning,47.0
Claude Opus4.5 reasoning,47.0
Claude Opus4.6(Adaptive) reasoning,46.2
GPT-5.1(high) reasoning,45.5
GPT-5.2(medium) reasoning,43.2
GLM-5 reasoning,43.2
Gemini 3 ProPreview(high) reasoning,41.7
Claude Opus 4.5,40.9
GLM-5,39.4
Gemini 3Flash reasoning,38.6
Grok 4 reasoning,37.9
GPT-5(medium) reasoning,37.9
GPT-5 Codex(high) reasoning,37.9
o3 reasoning,37.1
GPT-5.2Codex(xhigh) reasoning,37.1
Claude 4.5Sonnet reasoning,35.6
DeepSeekV3.2 reasoning,35.6
GPT-5.1Codex (high) reasoning,34.8
DeepSeekV3.2Speciale reasoning,34.8
MiniMax-M2.5 reasoning,34.8
Kimi K2.5 reasoning,34.8
Claude 4.1Opus reasoning,34.3
Gemini 3 ProPreview(low) reasoning,34.1
GPT-5 mini(high) reasoning,33.3
GPT-5.1Codex mini(high) reasoning,33.3
DeepSeek V3.2,32.6
GPT-5 (high) reasoning,32.6
GPT-5.2,31.8
Gemini 3 Flash,31.8
GLM-4.7 reasoning,31.8
DeepSeek V3.1Terminus,31.8
MiMo-V2-Flash(Feb 2026) reasoning,31.1
Claude 4Sonnet reasoning,31.1
Claude 4Opus reasoning,31.1
DeepSeekV3.2 Exp reasoning,31.1
Kimi K2Thinking reasoning,31.1
GLM-4.7,30.3
DeepSeekV3.1Terminus reasoning,30.3
Claude 4.5 Sonnet,28.8
MiniMax-M2.1 reasoning,28.8
GPT-5 mini(medium) reasoning,28.8
GLM-4.6,28.8
MiMo-V2-Flash reasoning,28.0
Claude 4.5 Haiku,27.3
Claude 4.5Haiku reasoning,27.3
Claude 4 Sonnet,27.3
Gemini 2.5Pro reasoning,26.5
Doubao SeedCode reasoning,26.5
GPT-5 (low) reasoning,26.5
MiMo-V2-Flash,25.8
MiniMax-M2 reasoning,25.8
ERNIE 5.0ThinkingPreview reasoning,25.0
DeepSeekV3.1 reasoning,25.0
DeepSeek V3.2 Exp,25.0
GLM-4.6 reasoning,25.0
Grok 4.1Fast reasoning,24.2
Nova 2.0 ProPreview(medium) reasoning,24.2
Qwen3 MaxThinking reasoning,24.2
DeepSeek V3.1,24.2
gpt-oss-120B(high) reasoning,23.5
Kimi K2 0905,23.5
K-EXAONE reasoning,22.7
GPT-5.1,22.7
GLM-4.7-Flash reasoning,22.0
GLM-4.5 reasoning,22.0
Claude 3.7Sonnet reasoning,21.2
Claude 3.7 Sonnet,21.2
GLM-4.5-Air reasoning,20.5
Qwen3 Max,20.5
Qwen3 Max(Preview),19.7
Devstral 2,18.9
Kimi K2.5,18.9
Qwen3 Coder 480B,18.9
Grok 4 Fast reasoning,18.9
Qwen3-Coder-Next,18.2
GPT-5 (minimal),18.2
Grok CodeFast 1 reasoning,17.4
Grok 3 miniReasoning(high) reasoning,17.4
Nova 2.0Lite(medium) reasoning,17.4
Nova 2.0 ProPreview(low) reasoning,17.4
Qwen3 MaxThinking(Preview) reasoning,17.4
GPT-5 nano(medium) reasoning,17.4
Devstral Small 2,16.7
Nova 2.0 ProPreview,16.7
Cogito v2.1 reasoning,16.7
Gemini 2.5Flash (Sep) reasoning,16.7
Mistral Large 3,15.9
DeepSeek R10528 reasoning,15.9
Kimi K2,15.9
Qwen3 235B 2507,15.2
Qwen3 Coder 30BA3B,15.2
o4-mini(high) reasoning,15.2
DeepSeek V3 0324,15.2
Grok 4.1 Fast,14.4
GLM-4.6V reasoning,14.4
Apriel-v1.6-15B-Thinker reasoning,14.4
GPT-5 mini(minimal),14.4
Gemini 2.5 Flash(Sep),14.4
NVIDIANemotron 3Nano reasoning,13.6
Qwen3 235BA22B 2507 reasoning,13.6
GPT-4.1,13.6
Gemini 2.5Flash reasoning,13.6
Gemini 2.5Flash-Lite(Sep) reasoning,12.9
MagistralMedium 1.2 reasoning,12.9
o1 reasoning,12.9
GPT-5 (ChatGPT),12.9
GPT-5 nano(high) reasoning,12.1
NVIDIA Nemotron 3Nano,12.1
HyperCLOVA XSEED Think(32B) reasoning,12.1
Gemini 2.5 Flash,12.1
Grok 4 Fast,12.1
Kimi Linear 48BA3B Instruct,11.4
Hermes 4405B reasoning,11.4
Qwen3 VL235B A22B reasoning,11.4
Grok 3,11.4
gpt-oss-20B(high) reasoning,10.6
Mistral Medium3.1,10.6
Ling-1T,10.6
Ling-flash-2.0,10.6
Apriel-v1.5-15B-Thinker reasoning,10.6
Hermes 4 405B,9.8
K2-V2 (high) reasoning,9.8
Qwen3 Next80B A3B reasoning,9.8
KAT-Coder-Pro V1,9.1
INTELLECT-3 reasoning,9.1
MagistralMedium 1 reasoning,9.1
Devstral Medium,9.1
K2-V2(medium) reasoning,8.3
Qwen3 VL 32B,8.3
GPT-4o (Aug),8.3
GPT-4o (Nov),8.3
Gemini 2.5Flash-Lite (Sep),7.6
Qwen3 Next 80BA3B,7.6
Qwen3 VL 32B reasoning,7.6
Ring-flash-2.0 reasoning,7.6
GPT-4.1 mini,7.6
