Name,Score
GPT-5 (ChatGPT),12.1
GPT-5 (high),30.5
GPT-5 (low),24.8
GPT-5 (medium),36.199999999999996
GPT-5 (minimal),17.7
GPT-5 Codex (high),35.5
GPT-5 mini (high),31.2
GPT-5 mini (medium),27
GPT-5 mini (minimal),13.5
GPT-5 nano (high),11.3
GPT-5 nano (medium),16.3
GPT-5 nano (minimal),6.4
GPT-5.1 (Non-reasoning),21.3
GPT-5.1 (high),42.6
GPT-5.1 Codex (high),32.6
GPT-5.1 Codex mini (high),31.2
GPT-5.2 (Non-reasoning),29.799999999999997
GPT-5.2 (medium),40.400000000000006
GPT-5.2 (xhigh),44
Claude 4 Opus (Reasoning),29.099999999999998
Claude 4 Sonnet (Non-reasoning),25.5
Claude 4 Sonnet (Reasoning),29.799999999999997
Claude 4.5 Haiku (Non-reasoning),25.5
Claude 4.5 Haiku (Reasoning),25.5
Claude 4.5 Sonnet (Non-reasoning),27
Claude 4.5 Sonnet (Reasoning),33.300000000000004
Claude Opus 4.5 (Non-reasoning),38.3
Claude Opus 4.5 (Reasoning),44
Gemini 3 Flash Preview (Non-reasoning),29.799999999999997
Gemini 3 Flash Preview (Reasoning),36.199999999999996
Gemini 3 Pro Preview (high),39
Gemini 3 Pro Preview (low),31.900000000000002
GLM-4.6 (Non-reasoning),27
GLM-4.6 (Reasoning),23.400000000000002
GLM-4.6V (Non-reasoning),2.8000000000000003
GLM-4.6V (Reasoning),13.5
GLM-4.7 (Non-reasoning),28.4
GLM-4.7 (Reasoning),29.799999999999997
Grok 4,37.6
Grok 4 Fast (Non-reasoning),11.3
Grok 4 Fast (Reasoning),17.7
Grok 4.1 Fast (Non-reasoning),13.5
Grok 4.1 Fast (Reasoning),22.7
DeepSeek V3 (Dec '24),6.4
DeepSeek V3 0324,14.2
DeepSeek V3.2 (Non-reasoning),30.5
DeepSeek V3.2 (Reasoning),33.300000000000004
DeepSeek V3.2 Exp (Non-reasoning),23.400000000000002
DeepSeek V3.2 Exp (Reasoning),29.099999999999998
DeepSeek V3.2 Speciale,32.6
Kimi K2,14.899999999999999
Kimi K2 0905,22.7
Kimi K2 Thinking,29.099999999999998
MiniMax-M2,24.099999999999998
MiniMax-M2.1,27
MiMo-V2-Flash (Non-reasoning),24.099999999999998
MiMo-V2-Flash (Reasoning),26.200000000000003
KAT-Coder-Pro V1,8.5
Nova 2.0 Lite (Non-reasoning),6.4
Nova 2.0 Lite (low),3.5000000000000004
Nova 2.0 Lite (medium),16.3
Nova 2.0 Omni (Non-reasoning),6.4
Nova 2.0 Omni (low),3.5000000000000004
Nova 2.0 Omni (medium),4.3
Nova 2.0 Pro Preview (Non-reasoning),15.6
Nova 2.0 Pro Preview (low),16.3
Nova 2.0 Pro Preview (medium),22.7
Claude 3.7 Sonnet (Non-reasoning),19.900000000000002
Claude 3.7 Sonnet (Reasoning),19.900000000000002
Gemini 2.5 Flash (Non-reasoning),11.3
Gemini 2.5 Flash (Reasoning),12.8
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),13.5
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),15.6
Gemini 2.5 Flash-Lite (Non-reasoning),2.1
Gemini 2.5 Flash-Lite (Reasoning),4.3
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),7.1
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),12.1
Gemini 2.5 Pro,24.8
DeepSeek V3.1 (Non-reasoning),22.7
DeepSeek V3.1 (Reasoning),24.099999999999998
DeepSeek V3.1 Terminus (Non-reasoning),29.799999999999997
DeepSeek V3.1 Terminus (Reasoning),28.4
Doubao Seed Code,24.8
o4-mini (high),14.2
gpt-oss-120B (high),22
gpt-oss-120B (low),5
gpt-oss-20B (high),9.9
gpt-oss-20B (low),4.3
Grok 3,10.6
Grok 3 mini Reasoning (high),16.3
Qwen3 0.6B (Non-reasoning),0
Qwen3 0.6B (Reasoning),0
Qwen3 1.7B (Non-reasoning),0
Qwen3 1.7B (Reasoning),0
Qwen3 14B (Non-reasoning),5
Qwen3 14B (Reasoning),3.5000000000000004
Qwen3 235B A22B (Non-reasoning),5.7
Qwen3 235B A22B (Reasoning),5.7
Qwen3 235B A22B 2507 (Reasoning),12.8
Qwen3 235B A22B 2507 Instruct,14.2
Qwen3 30B A3B (Non-reasoning),6.4
