Name,Score
gemini-3-pro,1288
gemini-3.1-pro-preview,1278
gemini-3-flash,1276
gpt-5.2-chat-latest-20260210,1271
gemini-3-flash (thinking-minimal),1260
dola-seed-2.0-preview,1260
gpt-5.1-high,1249
kimi-k2.5-thinking,1248
gemini-2.5-pro,1248
gpt-5.2-high,1247
qwen3.5-397b-a17b,1244
gpt-5.1,1240
kimi-k2.5-instant,1239
chatgpt-4o-latest-20250326,1239
gpt-5.2,1233
gemini-2.5-flash-preview-09-2025,1228
gpt-4.5-preview-2025-02-27,1227
gpt-5-chat,1225
ernie-5.0-preview-1220,1222
o3-2025-04-16,1218
qwen3-vl-235b-a22b-instruct,1217
gpt-4.1-2025-04-14,1214
gemini-2.5-flash,1213
gpt-5-high,1209
claude-sonnet-4-20250514-thinking-32k,1207
claude-opus-4-20250514-thinking-16k,1207
gpt-4.1-mini-2025-04-14,1203
o4-mini-2025-04-16,1202
claude-3-7-sonnet-20250219-thinking-32k,1195
o1-2024-12-17,1195
claude-opus-4-20250514,1193
qwen3-vl-235b-a22b-thinking,1188
gemini-2.5-flash-lite-preview-06-17-thinking,1188
claude-sonnet-4-20250514,1188
grok-4-1-fast-reasoning,1186
qwen-vl-max-2025-08-13,1185
gpt-5-mini-high,1183
grok-4-0709,1182
gemini-1.5-pro-002,1180
claude-3-7-sonnet-20250219,1179
hunyuan-vision-1.5-thinking,1176
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1173
gemini-2.0-flash-001,1172
gpt-4o-2024-05-13,1164
glm-4.6v,1163
claude-3-5-sonnet-20241022,1163
gemma-3-27b-it,1158
mistral-medium-2505,1158
mistral-medium-2508,1157
glm-4.5v,1156
step-1o-turbo-202506,1155
hunyuan-large-vision,1152
claude-3-5-sonnet-20240620,1148
llama-4-maverick-17b-128e-instruct,1147
step-3,1147
gpt-5-nano-high,1146
mistral-small-2506,1142
gemini-1.5-flash-002,1141
gemini-2.0-flash-lite-preview-02-05,1136
claude-3-5-haiku-20241022,1132
llama-4-scout-17b-16e-instruct,1128
mistral-small-3.1-24b-instruct-2503,1128
step-1o-vision-32k-highres,1126
qwen2.5-vl-72b-instruct,1123
gpt-4o-2024-08-06,1120
gemini-1.5-pro-001,1120
qwen2.5-vl-32b-instruct,1119
gpt-4-turbo-2024-04-09,1114
molmo-2-8b,1112
gpt-4o-mini-2024-07-18,1099
pixtral-large-2411,1096
gpt-4.1-nano-2025-04-14,1090
qwen2-vl-72b,1087
qwen-vl-max-1119,1087
gemini-1.5-flash-8b-001,1072
claude-3-opus-20240229,1065
step-1v-32k,1065
gemini-1.5-flash-001,1062
molmo-72b-0924,1048
hunyuan-standard-vision-2024-12-31,1045
llama-3.2-vision-90b-instruct,1034
qwen2-vl-7b-instruct,1033
pixtral-12b-2409,1027
internvl2-26b,1026
amazon-nova-lite-v1.0,1022
amazon-nova-pro-v1.0,1021
claude-3-sonnet-20240229,1020
yi-vision,1005
claude-3-haiku-20240307,1003
c4ai-aya-vision-32b,1002
molmo-7b-d-0924,997
llama-3.2-vision-11b-instruct,993
nvila-internal-15b-v1,989
llava-onevision-qwen2-72b-ov,982
llava-v1.6-34b,968
minicpm-v-2_6,966
cogvlm2-llama3-chat-19b,966
internvl2-4b,960
phi-3.5-vision-instruct,923
phi-3-vision-128k-instruct,885
