Name,Score
GPT-5 (ChatGPT),63.7
GPT-5 (high),75.6
GPT-5 (low),58.699999999999996
GPT-5 (medium),72.8
GPT-5 (minimal),25
GPT-5 Codex (high),69
GPT-5 mini (high),68
GPT-5 mini (medium),66
GPT-5 mini (minimal),35.699999999999996
GPT-5 nano (high),41.699999999999996
GPT-5 nano (medium),40
GPT-5 nano (minimal),20
GPT-5.1 (Non-reasoning),44
GPT-5.1 (high),75
GPT-5.1 Codex (high),67.30000000000001
GPT-5.1 Codex mini (high),62.7
GPT-5.2 (Non-reasoning),38
GPT-5.2 (medium),63.3
GPT-5.2 (xhigh),72.7
Claude 4 Opus (Non-reasoning),36
Claude 4 Opus (Reasoning),33.7
Claude 4 Sonnet (Non-reasoning),44.3
Claude 4 Sonnet (Reasoning),64.7
Claude 4.5 Haiku (Non-reasoning),43.7
Claude 4.5 Haiku (Reasoning),70.3
Claude 4.5 Sonnet (Non-reasoning),51.300000000000004
Claude 4.5 Sonnet (Reasoning),65.7
Claude Opus 4.5 (Non-reasoning),65.3
Claude Opus 4.5 (Reasoning),74
Gemini 3 Flash Preview (Non-reasoning),48
Gemini 3 Flash Preview (Reasoning),66.3
Gemini 3 Pro Preview (high),70.7
Gemini 3 Pro Preview (low),67.30000000000001
GLM-4.6 (Non-reasoning),26.3
GLM-4.6 (Reasoning),54.300000000000004
GLM-4.6V (Non-reasoning),12.3
GLM-4.6V (Reasoning),40.300000000000004
GLM-4.7 (Non-reasoning),36.3
GLM-4.7 (Reasoning),64
Grok 4,68
Grok 4 Fast (Non-reasoning),20
Grok 4 Fast (Reasoning),64.7
Grok 4.1 Fast (Non-reasoning),22
Grok 4.1 Fast (Reasoning),68
DeepSeek V3 (Dec '24),28.999999999999996
DeepSeek V3 0324,41
DeepSeek V3.2 (Non-reasoning),39
DeepSeek V3.2 (Reasoning),65
DeepSeek V3.2 Exp (Non-reasoning),43
DeepSeek V3.2 Exp (Reasoning),69
DeepSeek V3.2 Speciale,59.3
Kimi K2,51
Kimi K2 0905,52.300000000000004
Kimi K2 Thinking,66.3
MiniMax-M2,61
MiniMax-M2.1,59
MiMo-V2-Flash (Non-reasoning),31.3
MiMo-V2-Flash (Reasoning),63
KAT-Coder-Pro V1,74
Nova 2.0 Lite (Non-reasoning),17.7
Nova 2.0 Lite (low),52
Nova 2.0 Lite (medium),58.3
Nova 2.0 Omni (Non-reasoning),22.3
Nova 2.0 Omni (low),51
Nova 2.0 Omni (medium),53.7
Nova 2.0 Pro Preview (Non-reasoning),28.299999999999997
Nova 2.0 Pro Preview (low),61.7
Nova 2.0 Pro Preview (medium),54.300000000000004
Claude 3.7 Sonnet (Non-reasoning),48.3
Claude 3.7 Sonnet (Reasoning),60.699999999999996
Gemini 2.5 Flash (Non-reasoning),45.9
Gemini 2.5 Flash (Reasoning),61.7
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),56.699999999999996
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),64.3
Gemini 2.5 Flash-Lite (Non-reasoning),31.3
Gemini 2.5 Flash-Lite (Reasoning),51.300000000000004
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),48
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),59
Gemini 2.5 Pro,66
DeepSeek V3.1 (Non-reasoning),45
DeepSeek V3.1 (Reasoning),53.300000000000004
DeepSeek V3.1 Terminus (Non-reasoning),43.3
DeepSeek V3.1 Terminus (Reasoning),65
Doubao Seed Code,65.3
o4-mini (high),55.00000000000001
gpt-oss-120B (high),50.7
gpt-oss-120B (low),43.7
gpt-oss-20B (high),30.7
gpt-oss-20B (low),31
Grok 3,54.7
Grok 3 mini Reasoning (high),50.3
Qwen3 0.6B (Non-reasoning),0
Qwen3 0.6B (Reasoning),0
Qwen3 1.7B (Non-reasoning),0
Qwen3 1.7B (Reasoning),0
Qwen3 14B (Non-reasoning),0
Qwen3 14B (Reasoning),0
Qwen3 235B A22B (Non-reasoning),0
Qwen3 235B A22B (Reasoning),0
Qwen3 235B A22B 2507 (Reasoning),67
Qwen3 235B A22B 2507 Instruct,31.2
Qwen3 30B A3B (Non-reasoning),0
Qwen3 30B A3B (Reasoning),0
Qwen3 30B A3B 2507 (Reasoning),59
Qwen3 30B A3B 2507 Instruct,22.7
Qwen3 32B (Non-reasoning),0
Qwen3 32B (Reasoning),0
Qwen3 4B (Reasoning),0
Qwen3 4B 2507 (Reasoning),37.7
Qwen3 4B 2507 Instruct,7.3
Qwen3 8B (Non-reasoning),0
Qwen3 8B (Reasoning),0
Qwen3 Coder 30B A3B Instruct,28.999999999999996
Qwen3 Coder 480B A35B Instruct,42.3
Qwen3 Max,46.7
Qwen3 Max (Preview),39.7
Qwen3 Max Thinking,57.699999999999996
Qwen3 Next 80B A3B (Reasoning),60.3
Qwen3 Next 80B A3B Instruct,51.300000000000004
Qwen3 Omni 30B A3B (Reasoning),0
Qwen3 Omni 30B A3B Instruct,0
Qwen3 VL 235B A22B (Reasoning),58.699999999999996
Qwen3 VL 235B A22B Instruct,31.7
Qwen3 VL 30B A3B (Reasoning),40.699999999999996
Qwen3 VL 30B A3B Instruct,23.7
Qwen3 VL 32B (Reasoning),55.300000000000004
Qwen3 VL 32B Instruct,31.3
Qwen3 VL 4B (Reasoning),21.3
Qwen3 VL 4B Instruct,13
Qwen3 VL 8B (Reasoning),31
Qwen3 VL 8B Instruct,15.299999999999999
EXAONE 4.0 32B (Non-reasoning),8
EXAONE 4.0 32B (Reasoning),14.000000000000002
Exaone 4.0 1.2B (Non-reasoning),0
Exaone 4.0 1.2B (Reasoning),0
K-EXAONE (Non-reasoning),47
K-EXAONE (Reasoning),55.7
ERNIE 5.0 Thinking Preview,6.7
Apriel-v1.5-15B-Thinker,20
Apriel-v1.6-15B-Thinker,50.3
