Name,Organization,Score
gemini-2.5-pro,Google,1457
gpt-5-high,OpenAI,1455
claude-opus-4-1-20250805-thinking-16k,Anthropic,1451
o3-2025-04-16,OpenAI,1445
chatgpt-4o-latest-20250326,OpenAI,1442
claude-opus-4-1-20250805,Anthropic,1439
gpt-4.5-preview-2025-02-27,OpenAI,1439
grok-4-0709,xAI,1425
gpt-5-chat,OpenAI,1423
qwen3-235b-a22b-instruct-2507,Alibaba,1422
MoonshotAIkimi-k2-0711-preview,Moonshot,1421
claude-opus-4-20250514-thinking-16k,Anthropic,1420
deepseek-r1-0528,DeepSeek,1417
mistral-medium-2508,Mistral,1414
glm-4.5,Z.ai,1413
claude-opus-4-20250514,Anthropic,1411
grok-3-preview-02-24,xAI,1409
gpt-4.1-2025-04-14,OpenAI,1407
gemini-2.5-flash,Google,1406
qwen3-235b-a22b-thinking-2507,Alibaba,1403
claude-sonnet-4-20250514-thinking-32k,Anthropic,1399
o1-2024-12-17,OpenAI,1399
qwen3-235b-a22b-no-thinking,Alibaba,1397
o4-mini-2025-04-16,OpenAI,1395
deepseek-r1,DeepSeek,1394
deepseek-v3-0324,DeepSeek,1393
gpt-5-mini-high,OpenAI,1390
qwen-vl-max-2025-08-13,Alibaba,1381
o1-preview,OpenAI,1386
claude-sonnet-4-20250514,Anthropic,1384
qwen3-coder-480b-a35b-instruct,Alibaba,1382
claude-3-7-sonnet-20250219-thinking-32k,Anthropic,1384
mistral-medium-2505,Mistral,1382
Tencenthunyuan-turbos-20250416,Tencent,1382
qwen3-30b-a3b-instruct-2507,Alibaba,1380
glm-4.5-air,Z.ai,1378
gpt-4.1-mini-2025-04-14,OpenAI,1376
qwen3-235b-a22b,Alibaba,1375
qwen2.5-max,Alibaba,1372
Minimaxminimax-m1,MiniMax,1370
Claude 3.5 Sonnet (10/22),Anthropic,1367
grok-3-mini-high,xAI,1363
gemma-3-27b-it,Google,1364
o3-mini-high,OpenAI,1363
grok-3-mini-beta,xAI,1359
Stepfunstep-3,StepFun,1354
deepseek-v3,DeepSeek,1356
gpt-oss-120b,OpenAI,1354
mistral-small-2506,Mistral,1353
gemini-2.0-flash-lite-preview-02-05,Google,1352
gpt-5-nano-high,OpenAI,1349
Tencenthunyuan-turbos-20250226,Tencent,1346
qwen3-32b,Alibaba,1346
Nvidiallama-3.1-nemotron-ultra-253b-v1,Nvidia,1345
glm-4.5v,Z.ai,1339
Gemini-1.5-Pro-002,Google,1350
qwen-plus-0125,Alibaba,1344
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,Nvidia,1342
Coherecommand-a-03-2025,Cohere,1347
o3-mini,OpenAI,1347
glm-4-plus-0111,Zhipu,1342
gemma-3-12b-it,Google,1341
Tencenthunyuan-turbo-0110,Tencent,1340
gpt-4o-2024-05-13,OpenAI,1344
Claude 3.5 Sonnet (06/20),Anthropic,1340
qwq-32b,Alibaba,1337
gpt-oss-20b,OpenAI,1332
Stepfunstep-2-16k-exp-202412,StepFun,1332
o1-mini,OpenAI,1335
llama-3.1-405b-instruct-bf16,Meta,1335
GPT-4o (08/06),OpenAI,1333
gemini-advanced-0514,Google,1332
Nvidiallama-3.3-nemotron-49b-super-v1,Nvidia,1325
llama-3.1-405b-instruct-fp8,Meta,1333
grok-2-2024-08-13,xAI,1332
Tencenthunyuan-large-2025-02-10,Tencent,1325
llama-4-maverick-17b-128e-instruct,Meta,1328
qwen3-30b-a3b,Alibaba,1327
