Name,Score
GPT-5 (ChatGPT),45
GPT-5 (high),73.1
GPT-5 (low),66.60000000000001
GPT-5 (medium),70.6
GPT-5 (minimal),45.6
GPT-5 Codex (high),74.1
GPT-5 mini (high),75.4
GPT-5 mini (medium),71.2
GPT-5 mini (minimal),45.6
GPT-5 nano (high),67.60000000000001
GPT-5 nano (medium),65.9
GPT-5 nano (minimal),32.5
GPT-5.1 (Non-reasoning),43.2
GPT-5.1 (high),72.89999999999999
GPT-5.1 Codex (high),70
GPT-5.1 Codex mini (high),67.9
GPT-5.2 (Non-reasoning),47.4
GPT-5.2 (medium),65.2
GPT-5.2 (xhigh),75.4
Claude 4 Opus (Non-reasoning),43.3
Claude 4 Opus (Reasoning),53.7
Claude 4 Sonnet (Non-reasoning),45.4
Claude 4 Sonnet (Reasoning),54.7
Claude 4.5 Haiku (Non-reasoning),42
Claude 4.5 Haiku (Reasoning),54.300000000000004
Claude 4.5 Sonnet (Non-reasoning),42.699999999999996
Claude 4.5 Sonnet (Reasoning),57.3
Claude Opus 4.5 (Non-reasoning),43
Claude Opus 4.5 (Reasoning),57.99999999999999
Gemini 3 Flash Preview (Non-reasoning),55.1
Gemini 3 Flash Preview (Reasoning),78
Gemini 3 Pro Preview (high),70.39999999999999
Gemini 3 Pro Preview (low),49.7
GLM-4.6 (Non-reasoning),36.7
GLM-4.6 (Reasoning),43.4
GLM-4.6V (Non-reasoning),27.900000000000002
GLM-4.6V (Reasoning),30.099999999999998
GLM-4.7 (Non-reasoning),54.6
GLM-4.7 (Reasoning),67.9
Grok 4,53.7
Grok 4 Fast (Non-reasoning),37.7
Grok 4 Fast (Reasoning),50.5
Grok 4.1 Fast (Non-reasoning),36.5
Grok 4.1 Fast (Reasoning),52.7
DeepSeek V3 (Dec '24),34.8
DeepSeek V3 0324,41
DeepSeek V3.2 (Non-reasoning),49
DeepSeek V3.2 (Reasoning),60.699999999999996
DeepSeek V3.2 Exp (Non-reasoning),43.1
DeepSeek V3.2 Exp (Reasoning),54.1
DeepSeek V3.2 Speciale,63.9
Kimi K2,41.5
Kimi K2 0905,41.699999999999996
Kimi K2 Thinking,68.10000000000001
MiniMax-M2,72.3
MiniMax-M2.1,69.89999999999999
MiMo-V2-Flash (Non-reasoning),39.900000000000006
MiMo-V2-Flash (Reasoning),64.2
KAT-Coder-Pro V1,68.4
Nova 2.0 Lite (Non-reasoning),40.5
Nova 2.0 Lite (low),61.199999999999996
Nova 2.0 Lite (medium),68.5
Nova 2.0 Omni (Non-reasoning),41.099999999999994
Nova 2.0 Omni (low),61.8
Nova 2.0 Omni (medium),66.2
Nova 2.0 Pro Preview (Non-reasoning),52
Nova 2.0 Pro Preview (low),79.60000000000001
Nova 2.0 Pro Preview (medium),79
Claude 3.7 Sonnet (Non-reasoning),44
Claude 3.7 Sonnet (Reasoning),48.3
Gemini 2.5 Flash (Non-reasoning),39
Gemini 2.5 Flash (Reasoning),50.3
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),43.5
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),52.300000000000004
Gemini 2.5 Flash-Lite (Non-reasoning),31.5
Gemini 2.5 Flash-Lite (Reasoning),49.9
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),41.8
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),52.6
Gemini 2.5 Pro,48.699999999999996
DeepSeek V3.1 (Non-reasoning),37.8
DeepSeek V3.1 (Reasoning),41.5
DeepSeek V3.1 Terminus (Non-reasoning),41.199999999999996
DeepSeek V3.1 Terminus (Reasoning),56.99999999999999
Doubao Seed Code,51.4
o4-mini (high),68.7
gpt-oss-120B (high),69
gpt-oss-120B (low),58.3
gpt-oss-20B (high),65.10000000000001
gpt-oss-20B (low),57.8
Grok 3,46.9
Grok 3 mini Reasoning (high),45.9
Qwen3 0.6B (Non-reasoning),21.9
Qwen3 0.6B (Reasoning),23.3
Qwen3 1.7B (Non-reasoning),21.099999999999998
Qwen3 1.7B (Reasoning),26.900000000000002
Qwen3 14B (Non-reasoning),23.9
Qwen3 14B (Reasoning),40.5
Qwen3 235B A22B (Non-reasoning),36.6
Qwen3 235B A22B (Reasoning),38.7
Qwen3 235B A22B 2507 (Reasoning),51.2
Qwen3 235B A22B 2507 Instruct,46.1
Qwen3 30B A3B (Non-reasoning),31.900000000000002
