Name,Score
GPT-5 (ChatGPT),68.60000000000001
GPT-5 (high),85.39999999999999
GPT-5 (low),80.80000000000001
GPT-5 (medium),84.2
GPT-5 (minimal),67.30000000000001
GPT-5 Codex (high),83.7
GPT-5 mini (high),82.8
GPT-5 mini (medium),80.30000000000001
GPT-5 mini (minimal),68.7
GPT-5 nano (high),67.60000000000001
GPT-5 nano (medium),67
GPT-5 nano (minimal),42.8
GPT-5.1 (Non-reasoning),64.3
GPT-5.1 (high),87.3
GPT-5.1 Codex (high),86
GPT-5.1 Codex mini (high),81.3
GPT-5.2 (Non-reasoning),71.2
GPT-5.2 (medium),86.4
GPT-5.2 (xhigh),90.3
Claude 4 Opus (Non-reasoning),70.1
Claude 4 Opus (Reasoning),79.60000000000001
Claude 4 Sonnet (Non-reasoning),68.30000000000001
Claude 4 Sonnet (Reasoning),77.7
Claude 4.5 Haiku (Non-reasoning),64.60000000000001
Claude 4.5 Haiku (Reasoning),67.2
Claude 4.5 Sonnet (Non-reasoning),72.7
Claude 4.5 Sonnet (Reasoning),83.39999999999999
Claude Opus 4.5 (Non-reasoning),81
Claude Opus 4.5 (Reasoning),86.6
Gemini 3 Flash Preview (Non-reasoning),81.2
Gemini 3 Flash Preview (Reasoning),89.8
Gemini 3 Pro Preview (high),90.8
Gemini 3 Pro Preview (low),88.7
GLM-4.6 (Non-reasoning),63.2
GLM-4.6 (Reasoning),78
GLM-4.6V (Non-reasoning),56.599999999999994
GLM-4.6V (Reasoning),71.89999999999999
GLM-4.7 (Non-reasoning),66.4
GLM-4.7 (Reasoning),85.9
Grok 4,87.7
Grok 4 Fast (Non-reasoning),60.6
Grok 4 Fast (Reasoning),84.7
Grok 4.1 Fast (Non-reasoning),63.7
Grok 4.1 Fast (Reasoning),85.3
DeepSeek V3 (Dec '24),55.7
DeepSeek V3 0324,65.5
DeepSeek V3.2 (Non-reasoning),75.1
DeepSeek V3.2 (Reasoning),84
DeepSeek V3.2 Exp (Non-reasoning),73.8
DeepSeek V3.2 Exp (Reasoning),79.7
DeepSeek V3.2 Speciale,87.1
Kimi K2,76.6
Kimi K2 0905,76.7
Kimi K2 Thinking,83.8
MiniMax-M2,77.7
MiniMax-M2.1,83
MiMo-V2-Flash (Non-reasoning),65.60000000000001
MiMo-V2-Flash (Reasoning),84.6
KAT-Coder-Pro V1,76.4
Nova 2.0 Lite (Non-reasoning),60.3
Nova 2.0 Lite (low),69.8
Nova 2.0 Lite (medium),76.8
Nova 2.0 Omni (Non-reasoning),55.50000000000001
Nova 2.0 Omni (low),69.89999999999999
Nova 2.0 Omni (medium),76
Nova 2.0 Pro Preview (Non-reasoning),63.6
Nova 2.0 Pro Preview (low),75.1
Nova 2.0 Pro Preview (medium),78.5
Claude 3.7 Sonnet (Non-reasoning),65.60000000000001
Claude 3.7 Sonnet (Reasoning),77.2
Gemini 2.5 Flash (Non-reasoning),68.30000000000001
Gemini 2.5 Flash (Reasoning),79
Gemini 2.5 Flash Preview (Non-reasoning),59.4
Gemini 2.5 Flash Preview (Reasoning),69.8
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),76.6
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),79.3
Gemini 2.5 Flash-Lite (Non-reasoning),47.4
Gemini 2.5 Flash-Lite (Reasoning),62.5
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),65.10000000000001
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),70.89999999999999
Gemini 2.5 Pro,84.39999999999999
Gemini 2.5 Pro Preview (Mar' 25),83.6
Gemini 2.5 Pro Preview (May' 25),82.19999999999999
DeepSeek V3.1 (Non-reasoning),73.5
DeepSeek V3.1 (Reasoning),77.9
DeepSeek V3.1 Terminus (Non-reasoning),75.1
DeepSeek V3.1 Terminus (Reasoning),79.2
Doubao Seed Code,76.4
o4-mini (high),78.4
gpt-oss-120B (high),78.2
gpt-oss-120B (low),67.2
gpt-oss-20B (high),68.8
gpt-oss-20B (low),61.1
Grok 3,69.3
Grok 3 mini Reasoning (high),79.10000000000001
Qwen3 0.6B (Non-reasoning),23.1
Qwen3 0.6B (Reasoning),23.9
Qwen3 1.7B (Non-reasoning),28.299999999999997
Qwen3 1.7B (Reasoning),35.6
Qwen3 14B (Non-reasoning),47
Qwen3 14B (Reasoning),60.4
Qwen3 235B A22B (Non-reasoning),61.3
Qwen3 235B A22B (Reasoning),70
Qwen3 235B A22B 2507 (Reasoning),79
Qwen3 235B A22B 2507 Instruct,75.3
Qwen3 30B A3B (Non-reasoning),51.5
Qwen3 30B A3B (Reasoning),61.6
Qwen3 30B A3B 2507 (Reasoning),70.7
Qwen3 30B A3B 2507 Instruct,65.9
Qwen3 32B (Non-reasoning),53.5
Qwen3 32B (Reasoning),66.8
Qwen3 4B (Non-reasoning),39.800000000000004
Qwen3 4B (Reasoning),52.2
Qwen3 4B 2507 (Reasoning),66.7
Qwen3 4B 2507 Instruct,51.7
Qwen3 8B (Non-reasoning),45.2
Qwen3 8B (Reasoning),58.9
Qwen3 Coder 30B A3B Instruct,51.6
Qwen3 Coder 480B A35B Instruct,61.8
Qwen3 Max,76.4
Qwen3 Max (Preview),76.4
Qwen3 Max Thinking,77.60000000000001
Qwen3 Next 80B A3B (Reasoning),75.9
Qwen3 Next 80B A3B Instruct,73.8
Qwen3 Omni 30B A3B (Reasoning),72.6
Qwen3 Omni 30B A3B Instruct,62
Qwen3 VL 235B A22B (Reasoning),77.2
Qwen3 VL 235B A22B Instruct,71.2
Qwen3 VL 30B A3B (Reasoning),72
Qwen3 VL 30B A3B Instruct,69.5
Qwen3 VL 32B (Reasoning),73.3
Qwen3 VL 32B Instruct,67.10000000000001
Qwen3 VL 4B (Reasoning),49.4
Qwen3 VL 4B Instruct,37.1
Qwen3 VL 8B (Reasoning),57.9
Qwen3 VL 8B Instruct,42.699999999999996
EXAONE 4.0 32B (Non-reasoning),62.8
EXAONE 4.0 32B (Reasoning),73.9
Exaone 4.0 1.2B (Non-reasoning),42.4
Exaone 4.0 1.2B (Reasoning),51.5
K-EXAONE (Non-reasoning),69.5
K-EXAONE (Reasoning),78.3
ERNIE 5.0 Thinking Preview,77.7
Apriel-v1.5-15B-Thinker,71.3
Apriel-v1.6-15B-Thinker,73.3
Magistral Medium 1.2,73.9
DeepSeek R1 (Jan '25),70.8
DeepSeek R1 0528 (May '25),81.3
DeepSeek R1 0528 Qwen3 8B,61.199999999999996
DeepSeek R1 Distill Llama 70B,40.2
DeepSeek R1 Distill Llama 8B,30.2
DeepSeek R1 Distill Qwen 1.5B,9.8
DeepSeek R1 Distill Qwen 14B,48.4
DeepSeek R1 Distill Qwen 32B,61.5
GLM-4.5 (Reasoning),78.2
GLM-4.5-Air,73.3
GLM-4.5V (Non-reasoning),57.3
GLM-4.5V (Reasoning),68.4
GPT-4.1,66.60000000000001
GPT-4.1 mini,66.4
GPT-4.1 nano,51.2
Seed-OSS-36B-Instruct,72.6
