Name,Score
Gemini 3.1 Pro Preview (02/26),78.80
GPT 5.4,78.20
Claude Opus 4.6 (Thinking),78.20
GPT 5.3 Codex,78.00
Claude Sonnet 4.6,77.40
Claude Opus 4.5 (Thinking),76.40
Gemini 3 Pro (11/25),76.40
GPT 5.2,75.80
Gemini 3 Flash (12/25),75.00
MiniMax-M2.1,74.80
MiniMax-M2.5,74.20
MiniMax-M2.7,73.80
GPT 5.4 Mini,73.00
GPT 5.2 Codex,72.40
Grok 4.20 (Reasoning),72.20
GLM 5,71.40
Qwen 3.5 Plus,71.20
Kimi K2.5,70.00
Claude Sonnet 4.5 (Thinking),70.00
GPT 5.4 Nano,69.80
GPT 5.1,69.80
GLM 4.7,69.40
GPT 5,69.00
DeepSeek V3.2 (Thinking),67.60
Claude Haiku 4.5 (Thinking),66.60
Qwen 3.5 Flash,64.40
Gemini 3.1 Flash Lite Preview,62.80
Devstral 2,62.80
GPT 5 Mini,60.80
Kimi K2 Thinking,60.20
Grok 4,57.80
Gemini 2.5 Pro,54.40
Grok 4 Fast (Reasoning),45.40
Grok 4.1 Fast (Reasoning),41.40
Mistral Large 3,41.40
GPT OSS 120B,33.60
Command A,7.80
