Name,Score
GPT-5 (ChatGPT),37.8
GPT-5 (high),42.9
GPT-5 (low),39.1
GPT-5 (medium),41.099999999999994
GPT-5 (minimal),38.800000000000004
GPT-5 Codex (high),40.9
GPT-5 mini (high),39.2
GPT-5 mini (medium),41
GPT-5 mini (minimal),36.9
GPT-5 nano (high),36.6
GPT-5 nano (medium),33.800000000000004
GPT-5 nano (minimal),29.099999999999998
GPT-5.1 (Non-reasoning),36.5
GPT-5.1 (high),43.3
GPT-5.1 Codex (high),40.2
GPT-5.1 Codex mini (high),42.6
GPT-5.2 (Non-reasoning),40.400000000000006
GPT-5.2 (medium),46.2
GPT-5.2 (xhigh),52.1
Claude 4 Opus (Non-reasoning),40.9
Claude 4 Opus (Reasoning),39.800000000000004
Claude 4 Sonnet (Non-reasoning),37.3
Claude 4 Sonnet (Reasoning),40
Claude 4.5 Haiku (Non-reasoning),34.4
Claude 4.5 Haiku (Reasoning),43.3
Claude 4.5 Sonnet (Non-reasoning),42.8
Claude 4.5 Sonnet (Reasoning),44.7
Claude Opus 4.5 (Non-reasoning),47
Claude Opus 4.5 (Reasoning),49.5
Gemini 3 Flash Preview (Non-reasoning),49.9
Gemini 3 Flash Preview (Reasoning),50.6
Gemini 3 Pro Preview (high),56.10000000000001
Gemini 3 Pro Preview (low),49.9
GLM-4.6 (Non-reasoning),33.1
GLM-4.6 (Reasoning),38.4
GLM-4.6V (Non-reasoning),27.200000000000003
GLM-4.6V (Reasoning),30.4
GLM-4.7 (Non-reasoning),35.4
GLM-4.7 (Reasoning),45.1
Grok 4,45.7
Grok 4 Fast (Non-reasoning),32.9
Grok 4 Fast (Reasoning),44.2
Grok 4.1 Fast (Non-reasoning),29.599999999999998
Grok 4.1 Fast (Reasoning),44.2
DeepSeek V3 (Dec '24),35.4
DeepSeek V3 0324,35.8
DeepSeek V3.2 (Non-reasoning),38.7
DeepSeek V3.2 (Reasoning),38.9
DeepSeek V3.2 Exp (Non-reasoning),39.900000000000006
DeepSeek V3.2 Exp (Reasoning),37.7
DeepSeek V3.2 Speciale,44
Kimi K2,34.5
Kimi K2 0905,30.7
Kimi K2 Thinking,42.4
MiniMax-M2,36.1
MiniMax-M2.1,40.699999999999996
MiMo-V2-Flash (Non-reasoning),25.900000000000002
MiMo-V2-Flash (Reasoning),39.4
KAT-Coder-Pro V1,36.6
Nova 2.0 Lite (Non-reasoning),24
Nova 2.0 Lite (low),33.300000000000004
Nova 2.0 Lite (medium),36.8
Nova 2.0 Omni (Non-reasoning),27.900000000000002
Nova 2.0 Omni (low),34.300000000000004
Nova 2.0 Omni (medium),36.199999999999996
Nova 2.0 Pro Preview (Non-reasoning),28.1
Nova 2.0 Pro Preview (low),38.7
Nova 2.0 Pro Preview (medium),42.699999999999996
Claude 3.7 Sonnet (Non-reasoning),37.6
Claude 3.7 Sonnet (Reasoning),40.300000000000004
Gemini 2.5 Flash (Non-reasoning),29.099999999999998
Gemini 2.5 Flash (Reasoning),39.4
Gemini 2.5 Flash Preview (Non-reasoning),23.3
Gemini 2.5 Flash Preview (Reasoning),35.9
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),37.5
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),40.5
Gemini 2.5 Flash-Lite (Non-reasoning),17.7
Gemini 2.5 Flash-Lite (Reasoning),19.3
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),28.499999999999996
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),28.7
Gemini 2.5 Pro,42.8
Gemini 2.5 Pro Preview (Mar' 25),39.5
Gemini 2.5 Pro Preview (May' 25),41.6
DeepSeek V3.1 (Non-reasoning),36.7
DeepSeek V3.1 (Reasoning),39.1
DeepSeek V3.1 Terminus (Non-reasoning),32.1
DeepSeek V3.1 Terminus (Reasoning),40.6
Doubao Seed Code,40.699999999999996
o4-mini (high),46.5
gpt-oss-120B (high),38.9
gpt-oss-120B (low),36
gpt-oss-20B (high),34.4
gpt-oss-20B (low),34
Grok 3,36.8
Grok 3 mini Reasoning (high),40.6
Qwen3 0.6B (Non-reasoning),4.1000000000000005
Qwen3 0.6B (Reasoning),2.8000000000000003
Qwen3 1.7B (Non-reasoning),6.9
Qwen3 1.7B (Reasoning),4.3
Qwen3 14B (Non-reasoning),26.5
Qwen3 14B (Reasoning),31.6
Qwen3 235B A22B (Non-reasoning),29.9
Qwen3 235B A22B (Reasoning),39.900000000000006
Qwen3 235B A22B 2507 (Reasoning),42.4
Qwen3 235B A22B 2507 Instruct,36
Qwen3 30B A3B (Non-reasoning),26.400000000000002
Qwen3 30B A3B (Reasoning),28.499999999999996
Qwen3 30B A3B 2507 (Reasoning),33.300000000000004
Qwen3 30B A3B 2507 Instruct,30.4
Qwen3 32B (Non-reasoning),28.000000000000004
Qwen3 32B (Reasoning),35.4
Qwen3 4B (Non-reasoning),16.7
Qwen3 4B (Reasoning),3.5000000000000004
Qwen3 4B 2507 (Reasoning),25.6
Qwen3 4B 2507 Instruct,18.099999999999998
Qwen3 8B (Non-reasoning),16.8
Qwen3 8B (Reasoning),22.6
Qwen3 Coder 30B A3B Instruct,27.800000000000004
Qwen3 Coder 480B A35B Instruct,35.9
Qwen3 Max,38.3
Qwen3 Max (Preview),37
Qwen3 Max Thinking,38.7
Qwen3 Next 80B A3B (Reasoning),38.800000000000004
Qwen3 Next 80B A3B Instruct,30.7
Qwen3 Omni 30B A3B (Reasoning),30.599999999999998
Qwen3 Omni 30B A3B Instruct,18.6
Qwen3 VL 235B A22B (Reasoning),39.900000000000006
Qwen3 VL 235B A22B Instruct,35.9
Qwen3 VL 30B A3B (Reasoning),28.799999999999997
Qwen3 VL 30B A3B Instruct,30.8
Qwen3 VL 32B (Reasoning),28.499999999999996
Qwen3 VL 32B Instruct,30.099999999999998
Qwen3 VL 4B (Reasoning),17.1
Qwen3 VL 4B Instruct,13.700000000000001
Qwen3 VL 8B (Reasoning),21.9
Qwen3 VL 8B Instruct,17.4
EXAONE 4.0 32B (Non-reasoning),25.2
EXAONE 4.0 32B (Reasoning),34.4
Exaone 4.0 1.2B (Non-reasoning),7.3999999999999995
Exaone 4.0 1.2B (Reasoning),9.3
K-EXAONE (Non-reasoning),27
K-EXAONE (Reasoning),35.6
ERNIE 5.0 Thinking Preview,37.5
Apriel-v1.5-15B-Thinker,34.8
Apriel-v1.6-15B-Thinker,37.3
Magistral Medium 1.2,39.2
DeepSeek R1 (Jan '25),35.699999999999996
DeepSeek R1 0528 (May '25),40.300000000000004
DeepSeek R1 0528 Qwen3 8B,20.4
DeepSeek R1 Distill Llama 70B,31.2
DeepSeek R1 Distill Llama 8B,11.899999999999999
DeepSeek R1 Distill Qwen 1.5B,6.6000000000000005
DeepSeek R1 Distill Qwen 14B,23.9
DeepSeek R1 Distill Qwen 32B,37.6
GLM-4.5 (Reasoning),34.8
GLM-4.5-Air,30.599999999999998
GLM-4.5V (Non-reasoning),18.8
GLM-4.5V (Reasoning),22.1
GPT-4.1,38.1
GPT-4.1 mini,40.400000000000006
GPT-4.1 nano,25.900000000000002
Seed-OSS-36B-Instruct,36.5
NVIDIA Nemotron 3 Nano 30B A3B (Non-reasoning),23
NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),29.599999999999998
NVIDIA Nemotron Nano 12B v2 VL (Non-reasoning),17.599999999999998
NVIDIA Nemotron Nano 12B v2 VL (Reasoning),26.200000000000003
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),20.9
NVIDIA Nemotron Nano 9B V2 (Reasoning),22
MiniMax M1 40k,37.8
MiniMax M1 80k,37.4
HyperCLOVA X SEED Think (32B),28.4
Mi:dm K 2.5 Pro,33.2
Mi:dm K 2.5 Pro Preview,29.7
Mistral Large 3,36.199999999999996
INTELLECT-3,39.1
Devstral 2,33.1
Devstral Medium,29.4
Devstral Small (Jul '25),24.3
Devstral Small (May '25),24.5
Devstral Small 2,28.799999999999997
Mistral 7B Instruct,2.4
Mistral Large (Feb '24),20.8
Mistral Large 2 (Jul '24),27.1
Mistral Large 2 (Nov '24),29.2
Mistral Medium,11.799999999999999
Mistral Medium 3,33.1
Mistral Medium 3.1,33.800000000000004
Mistral Saba,24.099999999999998
Mistral Small (Feb '24),13.4
Mistral Small (Sep '24),15.6
Mistral Small 3,23.599999999999998
Mistral Small 3.1,26.5
Mistral Small 3.2,26.400000000000002
K2-V2 (high),28.599999999999998
K2-V2 (low),22.3
K2-V2 (medium),25.2
Ling-1T,35.199999999999996
Ling-flash-2.0,28.9
Ling-mini-2.0,13.5
Llama Nemotron Super 49B v1.5 (Non-reasoning),23.799999999999997
Llama Nemotron Super 49B v1.5 (Reasoning),34.8
Nova Lite,13.900000000000002
Nova Micro,9.4
Nova Premier,27.900000000000002
Nova Pro,20.8
Gemini 2.0 Flash (Feb '25),33.300000000000004
Gemini 2.0 Flash (experimental),34
Gemini 2.0 Flash Thinking Experimental (Jan '25),32.9
Gemini 2.0 Flash-Lite (Feb '25),25
Gemini 2.0 Flash-Lite (Preview),24.7
Gemini 2.0 Pro Experimental (Feb '25),31.2
Llama 4 Maverick,33.1
Llama 4 Scout,17
Ministral 14B (Dec '25),23.599999999999998
Falcon-H1R-7B,24.9
Solar Pro 2 (Non-reasoning),24.8
Solar Pro 2 (Preview) (Non-reasoning),27.200000000000003
Solar Pro 2 (Preview) (Reasoning),16.400000000000002
Solar Pro 2 (Reasoning),30.2
Ministral 8B (Dec '25),20.8
Llama 3.3 Instruct 70B,26
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),22.900000000000002
Llama 3.3 Nemotron Super 49B v1 (Reasoning),28.199999999999996
Molmo 7B-D,3.5999999999999996
OLMo 2 32B,8
OLMo 2 7B,3.6999999999999997
Olmo 3 32B Think,28.599999999999998
