Name,Organization,Score
gpt-5-high,OpenAI,1463
gemini-2.5-pro,Google,1457
claude-opus-4-1-20250805,Anthropic,1447
o3-2025-04-16,OpenAI,1449
chatgpt-4o-latest-20250326,OpenAI,1441
gpt-4.5-preview-2025-02-27,OpenAI,1438
gpt-5-chat,OpenAI,1427
grok-4-0709,xAI,1430
qwen3-235b-a22b-instruct-2507,Alibaba,1426
MoonshotAIkimi-k2-0711-preview,Moonshot,1421
claude-opus-4-20250514-thinking-16k,Anthropic,1421
deepseek-r1-0528,DeepSeek,1418
glm-4.5,Z.ai,1415
claude-opus-4-20250514,Anthropic,1412
grok-3-preview-02-24,xAI,1409
gemini-2.5-flash,Google,1407
gpt-4.1-2025-04-14,OpenAI,1406
qwen3-235b-a22b-thinking-2507,Alibaba,1403
claude-sonnet-4-20250514-thinking-32k,Anthropic,1402
o1-2024-12-17,OpenAI,1398
o4-mini-2025-04-16,OpenAI,1397
gpt-5-mini-high,OpenAI,1392
qwen3-235b-a22b-no-thinking,Alibaba,1396
deepseek-r1,DeepSeek,1393
deepseek-v3-0324,DeepSeek,1392
o1-preview,OpenAI,1385
claude-sonnet-4-20250514,Anthropic,1385
claude-3-7-sonnet-20250219-thinking-32k,Anthropic,1384
mistral-medium-2505,Mistral,1382
Tencenthunyuan-turbos-20250416,Tencent,1382
qwen3-30b-a3b-instruct-2507,Alibaba,1379
qwen3-coder-480b-a35b-instruct,Alibaba,1379
glm-4.5-air,Z.ai,1378
gpt-4.1-mini-2025-04-14,OpenAI,1374
qwen3-235b-a22b,Alibaba,1374
qwen2.5-max,Alibaba,1372
Minimaxminimax-m1,MiniMax,1371
Claude 3.5 Sonnet (10/22),Anthropic,1366
grok-3-mini-high,xAI,1362
gemma-3-27b-it,Google,1363
o3-mini-high,OpenAI,1363
gpt-oss-120b,OpenAI,1356
grok-3-mini-beta,xAI,1359
deepseek-v3,DeepSeek,1356
mistral-small-2506,Mistral,1351
Tencenthunyuan-turbos-20250226,Tencent,1346
gemini-2.0-flash-lite-preview-02-05,Google,1351
qwen3-32b,Alibaba,1346
gpt-5-nano-high,OpenAI,1345
Nvidiallama-3.1-nemotron-ultra-253b-v1,Nvidia,1344
Gemini-1.5-Pro-002,Google,1350
qwen-plus-0125,Alibaba,1344
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,Nvidia,1342
Coherecommand-a-03-2025,Cohere,1346
o3-mini,OpenAI,1344
glm-4-plus-0111,Zhipu,1341
gemma-3-12b-it,Google,1340
Tencenthunyuan-turbo-0110,Tencent,1339
gpt-4o-2024-05-13,OpenAI,1343
Claude 3.5 Sonnet (06/20),Anthropic,1339
qwq-32b,Alibaba,1336
gpt-oss-20b,OpenAI,1331
o1-mini,OpenAI,1335
llama-3.1-405b-instruct-bf16,Meta,1334
Stepfunstep-2-16k-exp-202412,StepFun,1331
llama-3.1-405b-instruct-fp8,Meta,1332
GPT-4o (08/06),OpenAI,1332
gemini-advanced-0514,Google,1331
Nvidiallama-3.3-nemotron-49b-super-v1,Nvidia,1324
grok-2-2024-08-13,xAI,1331
llama-4-maverick-17b-128e-instruct,Meta,1328
Tencenthunyuan-large-2025-02-10,Tencent,1324
qwen3-30b-a3b,Alibaba,1327
01.AIyi-lightning,01 AI,1327
Stepfunstep-1o-turbo-202506,StepFun,1323
deepseek-v2.5-1210,DeepSeek,1321
gpt-4-turbo-2024-04-09,OpenAI,1323
gpt-4.1-nano-2025-04-14,OpenAI,1320
claude-3-opus-20240229,Anthropic,1321
gemini-1.5-pro-001,Google,1320
amazon-nova-experimental-chat-05-14,Amazon,1319
llama-4-scout-17b-16e-instruct,Meta,1319
glm-4-plus,Zhipu AI,1317
llama-3.3-70b-instruct,Meta,1318
claude-3-5-haiku-20241022,Anthropic,1317
qwen-max-0919,Alibaba,1316
gemma-3n-e4b-it,Google,1315
qwen2.5-plus-1127,Alibaba,1314
GPT-4o-mini (07/18),OpenAI,1315
gpt-4-1106-preview,OpenAI,1314
gpt-4-0125-preview,OpenAI,1314
athene-v2-chat,NexusFlow,1313
Tencenthunyuan-standard-2025-02-10,Tencent,1309
mistral-large-2407,Mistral,1313
Gemini-1.5-Flash-002,Google,1311
gemma-3-4b-it,Google,1303
deepseek-v2.5,DeepSeek,1306
grok-2-mini-2024-08-13,xAI,1306
athene-70b-0725,NexusFlow,1304
mistral-large-2411,Mistral,1304
magistral-medium-2506,Mistral,1301
qwen2.5-72b-instruct,Alibaba,1301
Nvidiallama-3.1-nemotron-70b-instruct,Nvidia,1297
Tencenthunyuan-large-vision,Tencent,1296
mistral-small-3.1-24b-instruct-2503,Mistral,1295
llama-3.1-tulu-3-70b,Ai2,1288
Meta-Llama-3.1-70B-Instruct,Meta,1294
jamba-1.5-large,AI21 Labs,1288
reka-core-20240904,Reka AI,1287
Nvidiallama-3.1-nemotron-51b-instruct,Nvidia,1286
amazon-nova-pro-v1.0,Amazon,1289
gpt-4-0314,OpenAI,1286
gemma-2-27b-it,Google,1286
gemini-1.5-flash-001,Google,1284
claude-3-sonnet-20240229,Anthropic,1282
gemma-2-9b-it-simpo,Princeton,1279
Coherecommand-r-plus-08-2024,Cohere,1278
Nvidianemotron-4-340b-instruct,Nvidia,1279
glm-4-0520,Zhipu AI,1275
reka-flash-20240904,Reka AI,1275
mistral-small-24b-instruct-2501,Mistral,1275
llama-3-70b-instruct,Meta,1275
gpt-4-0613,OpenAI,1275
qwen2.5-coder-32b-instruct,Alibaba,1271
Coherec4ai-aya-expanse-32b,Cohere,1268
deepseek-coder-v2,DeepSeek AI,1263
Coherecommand-r-plus,Cohere,1264
qwen2-72b-instruct,Alibaba,1264
gemma-2-9b-it,Google,1264
claude-3-haiku-20240307,Anthropic,1262
amazon-nova-lite-v1.0,Amazon,1261
gemini-1.5-flash-8b-001,Google,1261
olmo-2-0325-32b-instruct,Allen AI,1256
Azurephi-4,Microsoft,1257
Coherecommand-r-08-2024,Cohere,1254
amazon-nova-micro-v1.0,Amazon,1244
mistral-large-2402,Mistral,1243
jamba-1.5-mini,AI21 Labs,1240
ministral-8b-2410,Mistral,1239
Tencenthunyuan-standard-256k,Tencent,1236
qwen1.5-110b-chat,Alibaba,1236
qwen1.5-72b-chat,Alibaba,1235
reka-flash-21b-20240226-online,Reka AI,1235
gemini-pro-dev-api,Google,1233
mixtral-8x22b-instruct-v0.1,Mistral,1231
Coherecommand-r,Cohere,1230
reka-flash-21b-20240226,Reka AI,1228
Coherec4ai-aya-expanse-8b,Cohere,1227
llama-3.1-tulu-3-8b,Ai2,1225
mistral-medium,Mistral,1226
gemini-pro,Google,1221
llama-3-8b-instruct,Meta,1224
gpt-3.5-turbo-0125,OpenAI,1224
HuggingFacezephyr-orpo-141b-A35b-v0.1,HuggingFace,1215
granite-3.1-8b-instruct,IBM,1213
01.AIyi-1.5-34b-chat,01 AI,1217
llama-3.1-8b-instruct,Meta,1214
qwen1.5-32b-chat,Alibaba,1208
gpt-3.5-turbo-1106,OpenAI,1201
Azurephi-3-medium-4k-instruct,Microsoft,1201
InternLMinternlm2_5-20b-chat,InternLM,1199
mixtral-8x7b-instruct-v0.1,Mistral,1200
gemma-2-2b-it,Google,1200
dbrx-instruct-preview,Databricks,1197
qwen1.5-14b-chat,Alibaba,1195
Azurewizardlm-70b,Microsoft,1187
deepseek-llm-67b-chat,DeepSeek AI,1186
granite-3.0-8b-instruct,IBM,1187
01.AIyi-34b-chat,01 AI,1187
OpenChatopenchat-3.5-0106,OpenChat,1185
granite-3.1-2b-instruct,IBM,1184
OpenChatopenchat-3.5,OpenChat,1183
tulu-2-dpo-70b,AllenAI/UW,1182
Snowflakesnowflake-arctic-instruct,Snowflake,1183
gemma-1.1-7b-it,Google,1179
openhermes-2.5-mistral-7b,NousResearch,1178
vicuna-33b,LMSYS,1176
starling-lm-7b-beta,Nexusflow,1176
Azurephi-3-small-8k-instruct,Microsoft,1175
llama-2-70b-chat,Meta,1175
nous-hermes-2-mixtral-8x7b-dpo,NousResearch,1169
qwq-32b-preview,Alibaba,1169
starling-lm-7b-alpha,UC Berkeley,1171
llama-3.2-3b-instruct,Meta,1171
Nvidiallama2-70b-steerlm-chat,Nvidia,1161
solar-10.7b-instruct-v1.0,Upstage AI,1158
dolphin-2.2.1-mistral-7b,Cognitive Computations,1156
granite-3.0-2b-instruct,IBM,1162
mpt-30b-chat,MosaicML,1153
falcon-180b-chat,TII,1148
mistral-7b-instruct-v0.2,Mistral,1154
Azurewizardlm-13b,Microsoft,1153
Azurephi-3-mini-4k-instruct-june-2024,Microsoft,1148
qwen1.5-7b-chat,Alibaba,1147
llama-2-13b-chat,Meta,1146
vicuna-13b,LMSYS,1144
qwen-14b-chat,Alibaba,1140
codellama-34b-instruct,Meta,1140
palm-2,Google,1136
gemma-7b-it,Google,1135
HuggingFacezephyr-7b-alpha,HuggingFace,1131
HuggingFacezephyr-7b-beta,HuggingFace,1135
Azurephi-3-mini-128k-instruct,Microsoft,1135
guanaco-33b,UW,1130
HuggingFacesmollm2-1.7b-instruct,HuggingFace,1129
codellama-70b-instruct,Meta,1124
Azurephi-3-mini-4k-instruct,Microsoft,1134
stripedhyena-nous-7b,Together AI,1123
llama-3.2-1b-instruct,Meta,1121
vicuna-7b,LMSYS,1117
gemma-1.1-2b-it,Google,1115
llama-2-7b-chat,Meta,1113
mistral-7b-instruct,Mistral,1113
gemma-2b-it,Google,1092
qwen1.5-4b-chat,Alibaba,1094
olmo-7b-instruct,Allen AI,1079
koala-13b,UC Berkeley,1073
gpt4all-13b-snoozy,Nomic AI,1064
alpaca-13b,Stanford,1064
mpt-7b-chat,MosaicML,1062
chatglm3-6b,Tsinghua,1058
RWKVRWKV-4-Raven-14B,RWKV,1043
chatglm2-6b,Tsinghua,1028
oasst-pythia-12b,OpenAssistant,1022
chatglm-6b,Tsinghua,998
fastchat-t5-3b,LMSYS,992
dolly-v2-12b,Databricks,977
llama-13b,Meta,967
Stabilitystablelm-tuned-alpha-7b,Stability AI,954
