Name,Score
Grok 4,87.7
GPT-5 (high),85.4
o3-pro,84.5
Gemini 2.5 Pro,84.4
GPT-5 (medium),84.2
Gemini 2.5 Pro(Mar '25),83.6
o3,82.7
Gemini 2.5 Pro(May' 25),82.2
DeepSeek R10528,81.3
GPT-5 (low),80.8
GPT-5 mini,80.3
Claude 4 OpusThinking,79.6
Grok 3 miniReasoning(high),79.1
Gemini 2.5Flash(Reasoning),79
Qwen3 235B 2507(Reasoning),79
o4-mini (high),78.4
gpt-oss-120B(high),78.2
GLM-4.5,78.2
Claude 4 SonnetThinking,77.7
o3-mini (high),77.3
Claude 3.7Sonnet Thinking,77.2
Kimi K2,76.6
Qwen3 235B 2507(Non-reasoning),75.3
o3-mini,74.8
Llama NemotronSuper 49B v1.5(Reasoning),74.8
o1,74.7
EXAONE 4.0 32B(Reasoning),73.9
GLM-4.5-Air,73.3
Llama NemotronUltra Reasoning,72.8
DeepSeek R1(Jan '25),70.8
Qwen3 30B 2507(Reasoning),70.7
Claude 4 Opus,70.1
Gemini 2.0Flash Thinkingexp. (Jan '25),70.1
Qwen3 235B(Reasoning),70
Gemini 2.5Flash (April'25) (Reasoning),69.8
MiniMax M1 80k,69.7
Grok 3,69.3
Solar Pro 2(Reasoning),68.7
Gemini 2.5Flash,68.3
Claude 4 Sonnet,68.3
MiniMax M1 40k,68.2
MagistralMedium,67.9
GPT-5 (minimal),67.3
Llama 4Maverick,67.1
GPT-5 nano,67
Qwen3 32B(Reasoning),66.8
GPT-4.1,66.6
GPT-4.1 mini,66.4
Qwen3 30B 2507(Non-reasoning),65.9
Claude 3.7Sonnet,65.6
GPT-4o (March2025),65.5
DeepSeek V30324 (Mar '25),65.5
Llama 3.3Nemotron Super49B Reasoning,64.3
Magistral Small,64.1
Gemini 2.0Flash (exp),63.6
EXAONE 4.0 32B,62.8
Gemini 2.5Flash-Lite(Reasoning),62.5
Gemini 2.0Flash,62.3
Sonar Reasoning,62.3
Gemini 2.0 ProExperimental,62.2
Qwen3 Coder480B,61.8
gpt-oss-20B(high),61.7
Qwen3 30B(Reasoning),61.6
DeepSeek R1Distill Qwen32B,61.5
Qwen3 235B,61.3
DeepSeek R10528 Qwen3 8B,61.2
Qwen3 14B(Reasoning),60.4
o1-mini,60.3
Claude 3.5Sonnet (Oct),59.9
Gemini 2.5Flash (April'25),59.4
QwQ-32B,59.3
Gemini 1.5 Pro(Sep),58.9
Qwen3 8B(Reasoning),58.9
Mistral Medium3.1,58.8
Llama 4 Scout,58.7
Qwen2.5 Max,58.7
Mistral Medium3,57.8
MiniMax-Text-01,57.8
Sonar Pro,57.8
Solar Pro 2(Reasoning),57.8
Phi-4,57.5
Nova Premier,56.9
Solar Pro 2,56.1
Claude 3.5Sonnet (June),56
DeepSeek V3(Dec '24),55.7
QwQ 32B-Preview,55.7
Solar Pro 2,54.4
GPT-4o (Nov'24),54.3
Gemini 2.0Flash-Lite(Preview),54.2
Gemini 2.0Flash-Lite (Feb'25),53.5
Qwen3 32B,53.5
Reka Flash 3,52.9
Command A,52.7
GPT-4o (May'24),52.6
Qwen3 4B(Reasoning),52.2
GPT-4o (Aug'24),52.1
Llama 3.3Nemotron Super49B v1,51.7
Qwen3 Coder 30B,51.6
Tulu3 405B,51.6
Llama 3.1 405B,51.5
Qwen3 30B,51.5
GPT-4.1 nano,51.2
GPT-4o(ChatGPT),51.1
Grok 2,51
Mistral Small3.2,50.5
Pixtral Large,50.5
Nova Pro,49.9
Llama 3.3 70B,49.8
Devstral Medium,49.2
Qwen2.5 72B,49.1
Claude 3 Opus,48.9
Mistral Large 2(Nov '24),48.6
DeepSeek R1Distill Qwen14B,48.4
Llama NemotronSuper 49B v1.5,48.1
Gemini 2.5Flash-Lite,47.4
Mistral Large 2(Jul '24),47.2
Sonar,47.1
Grok Beta,47.1
Qwen3 14B,47
Qwen2.5Instruct 32B,46.6
Llama 3.1Nemotron 70B,46.5
Gemini 1.5Flash (Sep),46.3
Mistral Small 3,46.2
Mistral Small3.1,45.4
Qwen3 8B,45.2
Devstral Small(May '25),43.4
Nova Lite,43.3
Llama 3.2 90B(Vision),43.2
Gemma 3 27B,42.8
Jamba 1.5 Large,42.7
GPT-4o mini,42.6
Mistral Saba,42.4
Qwen2.5 Coder32B,41.7
Devstral Small,41.4
Qwen2.5 Turbo,41
Llama 3.1 70B,40.9
Llama 3.1Nemotron Nano4B v1.1 (Reasoning),40.8
Claude 3.5Haiku,40.8
DeepSeek R1Distill Llama70B,40.2
Hermes 3 -Llama-3.1 70B,40.1
Claude 3 Sonnet,40
Qwen3 4B,39.8
Jamba 1.7 Large,39
Jamba 1.6 Large,38.7
DeepHermes 3 -Mistral 24B,38.2
Mistral Small(Sep '24),38.1
Llama 3 70B,37.9
