Name,Score
Nova 2.0ProPreview (low) reasoning,79.6
Nova 2.0ProPreview (medium) reasoning,79.0
Gemini 3Flash reasoning,78.0
GPT-5.2(xhigh) reasoning,75.4
GPT-5 mini(high) reasoning,75.4
GPT-5Codex(high) reasoning,74.1
GPT-5(high) reasoning,73.1
GPT-5.1(high) reasoning,72.9
MiniMax-M2 reasoning,72.3
o3 reasoning,71.4
GPT-5 mini(medium) reasoning,71.2
NVIDIANemotron 3Nano reasoning,71.1
GPT-5(medium) reasoning,70.6
Gemini 3ProPreview (high) reasoning,70.4
o1 reasoning,70.3
GPT-5.1Codex(high) reasoning,70.0
MiniMax-M2.1 reasoning,69.9
Apriel-v1.6-15B-Thinker reasoning,69.1
gpt-oss-120B(high) reasoning,69.0
o4-mini(high) reasoning,68.7
Nova 2.0Lite(medium) reasoning,68.5
KAT-Coder-ProV1,68.4
Kimi K2Thinking reasoning,68.1
GPT-5.1Codex mini(high) reasoning,67.9
GLM-4.7 reasoning,67.9
GPT-5 nano(high) reasoning,67.6
o3-mini(high) reasoning,67.1
GPT-5(low) reasoning,66.6
Nova 2.0Omni(medium) reasoning,66.2
Olmo 3.132B Think reasoning,66.0
GPT-5 nano(medium) reasoning,65.9
GPT-5.2(medium) reasoning,65.2
gpt-oss-20B(high) reasoning,65.1
K-EXAONE reasoning,64.7
MiMo-V2-Flash reasoning,64.2
DeepSeekV3.2Speciale reasoning,63.9
Nova 2.0Omni (low) reasoning,61.8
Apriel-v1.5-15B-Thinker reasoning,61.7
Nova 2.0Lite (low) reasoning,61.2
DeepSeekV3.2 reasoning,60.7
Qwen3 Next80B A3B reasoning,60.7
K2-V2(high) reasoning,60.1
Qwen3 VL32B reasoning,59.4
gpt-oss-120B(low) reasoning,58.3
ClaudeOpus 4.5 reasoning,58.0
gpt-oss-20B(low) reasoning,57.8
Claude 4.5Sonnet reasoning,57.3
Motif-2-12.7B reasoning,57.0
DeepSeekV3.1Terminus reasoning,57.0
Qwen3 VL235B A22B reasoning,56.5
Claude 4.1Opus reasoning,55.4
Gemini 3 Flash,55.1
K2-V2(medium) reasoning,55.1
Claude 4Sonnet reasoning,54.7
GLM-4.7,54.6
Falcon-H1R-7B reasoning,54.4
Claude 4.5Haiku reasoning,54.3
DeepSeekV3.2 Exp reasoning,54.1
Qwen3 MaxThinking reasoning,53.8
Grok 4 reasoning,53.7
Claude 4Opus reasoning,53.7
Grok 4.1Fast reasoning,52.7
Gemini 2.5Flash-Lite(Sep) reasoning,52.6
JambaReasoning3B reasoning,52.4
