Name,Score
GPT-5 (high),38.61666666666667
GPT-5 (low),36.35
GPT-5 (medium),37.38333333333333
GPT-5 (minimal),27.21666666666667
GPT-5 Codex (high),37.1
GPT-5 mini (high),22.966666666666665
GPT-5 mini (medium),21.233333333333334
GPT-5 mini (minimal),17.1
GPT-5 nano (high),18.28333333333333
GPT-5 nano (medium),16.383333333333333
GPT-5 nano (minimal),11.366666666666667
GPT-5.1 (Non-reasoning),27.800000000000004
GPT-5.1 (high),35.3
GPT-5.1 Codex (high),23.133333333333333
GPT-5.1 Codex mini (high),21.73333333333333
GPT-5.2 (Non-reasoning),27.950000000000003
GPT-5.2 (medium),35.53333333333333
GPT-5.2 (xhigh),41.349999999999994
Claude 4 Sonnet (Non-reasoning),21.45
Claude 4 Sonnet (Reasoning),21.05
Claude 4.5 Haiku (Non-reasoning),13.416666666666666
Claude 4.5 Haiku (Reasoning),16.183333333333334
Claude 4.5 Sonnet (Non-reasoning),26.93333333333333
Claude 4.5 Sonnet (Reasoning),30.9
Claude Opus 4.5 (Non-reasoning),38.9
Claude Opus 4.5 (Reasoning),43.11666666666667
Gemini 3 Flash Preview (Non-reasoning),47.15
Gemini 3 Flash Preview (Reasoning),51.866666666666674
Gemini 3 Pro Preview (high),53.65
Gemini 3 Pro Preview (low),46.016666666666666
GLM-4.6 (Non-reasoning),20.266666666666666
GLM-4.6 (Reasoning),25.483333333333334
GLM-4.6V (Non-reasoning),16.666666666666664
GLM-4.6V (Reasoning),15.2
GLM-4.7 (Non-reasoning),22.916666666666664
GLM-4.7 (Reasoning),28.433333333333334
Grok 4,39.56666666666667
Grok 4 Fast (Non-reasoning),16.483333333333334
Grok 4 Fast (Reasoning),22.03333333333333
Grok 4.1 Fast (Non-reasoning),15.8
Grok 4.1 Fast (Reasoning),23.5
DeepSeek V3 (Dec '24),24.066666666666666
DeepSeek V3 0324,23.166666666666664
DeepSeek V3.2 (Non-reasoning),22.766666666666666
DeepSeek V3.2 (Reasoning),32.21666666666667
DeepSeek V3.2 Exp (Non-reasoning),22.066666666666666
DeepSeek V3.2 Exp (Reasoning),26.966666666666665
DeepSeek V3.2 Speciale,36.75
Kimi K2,25.8
Kimi K2 0905,24.033333333333335
Kimi K2 Thinking,29.233333333333334
MiniMax-M2,20.833333333333336
MiniMax-M2.1,22.066666666666666
MiMo-V2-Flash (Non-reasoning),16.316666666666666
MiMo-V2-Flash (Reasoning),26.333333333333332
KAT-Coder-Pro V1,18.46666666666667
Nova 2.0 Lite (Non-reasoning),13.283333333333333
Nova 2.0 Lite (low),16.75
Nova 2.0 Lite (medium),17.366666666666667
Nova 2.0 Omni (Non-reasoning),12.383333333333333
Nova 2.0 Omni (low),17.75
Nova 2.0 Omni (medium),17.2
Nova 2.0 Pro Preview (Non-reasoning),15.866666666666667
Nova 2.0 Pro Preview (low),20.983333333333334
Nova 2.0 Pro Preview (medium),20.95
Claude 3.7 Sonnet (Non-reasoning),26.98333333333333
Claude 3.7 Sonnet (Reasoning),26.766666666666666
Gemini 2.5 Flash (Non-reasoning),25.35
Gemini 2.5 Flash (Reasoning),24.9
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),25.766666666666666
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),26.98333333333333
Gemini 2.5 Flash-Lite (Non-reasoning),14.833333333333334
Gemini 2.5 Flash-Lite (Reasoning),17.133333333333333
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),13.350000000000001
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),17.133333333333333
Gemini 2.5 Pro,37.483333333333334
DeepSeek V3.1 (Non-reasoning),22.3
DeepSeek V3.1 (Reasoning),28.1
DeepSeek V3.1 Terminus (Non-reasoning),22.616666666666667
DeepSeek V3.1 Terminus (Reasoning),27.166666666666668
Doubao Seed Code,23.866666666666667
Doubao-Seed-1.8,24.98333333333333
o4-mini (high),23.35
gpt-oss-120B (high),20.016666666666666
gpt-oss-120B (low),18.15
gpt-oss-20B (high),14.649999999999999
gpt-oss-20B (low),13.683333333333334
Grok 3,27.366666666666667
Grok 3 mini Reasoning (high),14.499999999999998
Qwen3 0.6B (Non-reasoning),4.2
Qwen3 0.6B (Reasoning),5.55
Qwen3 1.7B (Non-reasoning),7.333333333333333
Qwen3 1.7B (Reasoning),8.383333333333333
Qwen3 14B (Non-reasoning),12.366666666666665
Qwen3 14B (Reasoning),14.149999999999999
Qwen3 235B A22B (Non-reasoning),17.299999999999997
Qwen3 235B A22B (Reasoning),17.666666666666668
Qwen3 235B A22B 2507 (Reasoning),22.116666666666667
Qwen3 235B A22B 2507 Instruct,17.583333333333336
Qwen3 30B A3B (Non-reasoning),11.133333333333335
Qwen3 30B A3B (Reasoning),15.35
Qwen3 30B A3B 2507 (Reasoning),15.466666666666667
Qwen3 30B A3B 2507 Instruct,14.299999999999999
Qwen3 32B (Reasoning),16.5
Qwen3 4B 2507 (Reasoning),12.883333333333333
Qwen3 4B 2507 Instruct,11.866666666666667
Qwen3 8B (Non-reasoning),10.283333333333333
Qwen3 8B (Reasoning),12.733333333333333
Qwen3 Coder 30B A3B Instruct,15.133333333333333
Qwen3 Coder 480B A35B Instruct,14.433333333333334
Qwen3 Max,23.35
Qwen3 Max (Preview),23.516666666666666
Qwen3 Max Thinking,26.616666666666667
Qwen3 Next 80B A3B (Reasoning),18.21666666666667
Qwen3 Next 80B A3B Instruct,16.716666666666665
Qwen3 Omni 30B A3B (Reasoning),14.066666666666666
Qwen3 Omni 30B A3B Instruct,13.833333333333334
Qwen3 VL 235B A22B (Reasoning),20.45
Qwen3 VL 235B A22B Instruct,19.21666666666667
Qwen3 VL 30B A3B (Reasoning),15.933333333333334
Qwen3 VL 30B A3B Instruct,14.75
Qwen3 VL 32B (Reasoning),16.366666666666667
Qwen3 VL 32B Instruct,14.05
Qwen3 VL 8B (Reasoning),18.983333333333334
Qwen3 VL 8B Instruct,19.166666666666668
EXAONE 4.0 32B (Non-reasoning),9.933333333333334
