Name,Score
Gemini 3 ProPreview(high) reasoning,89.8
Gemini 3 ProPreview(low) reasoning,89.5
Claude Opus4.5 reasoning,89.5
Gemini 3Flash reasoning,89.0
Claude Opus 4.5,88.9
Gemini 3 Flash,88.2
Claude 4.1Opus reasoning,88.0
Claude 4.5Sonnet reasoning,87.5
MiniMax-M2.1 reasoning,87.5
GPT-5.2(xhigh) reasoning,87.4
Claude 4Opus reasoning,87.3
GPT-5 (high) reasoning,87.1
GPT-5.1(high) reasoning,87.0
GPT-5(medium) reasoning,86.7
Grok 4 reasoning,86.6
GPT-5 Codex(high) reasoning,86.5
DeepSeekV3.2Speciale reasoning,86.3
Gemini 2.5Pro reasoning,86.2
DeepSeekV3.2 reasoning,86.2
GPT-5.1Codex (high) reasoning,86.0
Claude 4.5 Sonnet,86.0
GPT-5 (low) reasoning,86.0
Claude 4 Opus,86.0
GPT-5.2(medium) reasoning,85.9
Gemini 2.5Pro (Mar) reasoning,85.8
GLM-4.7 reasoning,85.6
Grok 4.1Fast reasoning,85.4
Doubao SeedCode reasoning,85.4
o3 reasoning,85.3
DeepSeekV3.1Terminus reasoning,85.1
DeepSeekV3.1 reasoning,85.1
DeepSeekV3.2 Exp reasoning,85.0
Grok 4 Fast reasoning,85.0
DeepSeek R10528 reasoning,84.9
Cogito v2.1 reasoning,84.9
Kimi K2Thinking reasoning,84.8
DeepSeek R1(Jan) reasoning,84.4
MiMo-V2-Flash reasoning,84.3
Qwen3 235BA22B 2507 reasoning,84.3
Gemini 2.5Flash (Sep) reasoning,84.2
Claude 4Sonnet reasoning,84.2
Qwen3 Max,84.1
o1 reasoning,84.1
K-EXAONE reasoning,83.8
Qwen3 Max(Preview),83.8
GPT-5 mini(high) reasoning,83.7
DeepSeek V3.2,83.7
Gemini 2.5Pro (May) reasoning,83.7
Claude 4 Sonnet,83.7
Claude 3.7Sonnet reasoning,83.7
Qwen3 VL235B A22B reasoning,83.6
Gemini 2.5 Flash(Sep),83.6
DeepSeek V3.1Terminus,83.6
DeepSeek V3.2 Exp,83.6
GLM-4.5 reasoning,83.5
DeepSeek V3.1,83.3
o4-mini(high) reasoning,83.2
Gemini 2.5Flash reasoning,83.2
Nova 2.0 ProPreview(medium) reasoning,83.0
ERNIE 5.0ThinkingPreview reasoning,83.0
Hermes 4405B reasoning,82.9
GLM-4.6 reasoning,82.9
Grok 3 miniReasoning(high) reasoning,82.8
Qwen3 235B 2507,82.8
GPT-5 mini(medium) reasoning,82.8
Qwen3 235B reasoning,82.8
LlamaNemotronUltra reasoning,82.5
Qwen3 Next80B A3B reasoning,82.4
Qwen3 MaxThinking(Preview) reasoning,82.4
Kimi K2,82.4
Qwen3 VL 235BA22B,82.3
Nova 2.0 ProPreview(low) reasoning,82.2
INTELLECT-3 reasoning,82.2
Ling-1T,82.2
GPT-5.1Codex mini(high) reasoning,82.0
GPT-5 (ChatGPT),82.0
MiniMax-M2 reasoning,82.0
Kimi K2 0905,81.9
Qwen3 Next 80BA3B,81.9
DeepSeek V3 0324,81.9
EXAONE 4.032B reasoning,81.8
Qwen3 VL 32B reasoning,81.8
MiniMax M180k reasoning,81.6
MagistralMedium 1.2 reasoning,81.5
GLM-4.5-Air reasoning,81.5
Seed-OSS-36B-Instruct reasoning,81.5
GPT-5.2,81.4
LlamaNemotronSuper 49B v1.5 reasoning,81.4
Nova 2.0Lite(medium) reasoning,81.3
KAT-Coder-Pro V1,81.3
Mi:dm K 2.5Pro Preview reasoning,81.3
Hermes 4 70B reasoning,81.1
K-EXAONE,81.0
Llama 4 Maverick,80.9
Nova 2.0Omni(medium) reasoning,80.9
Mi:dm K 2.5Pro reasoning,80.9
Gemini 2.5 Flash,80.9
gpt-oss-120B(high) reasoning,80.8
Gemini 2.5Flash-Lite(Sep) reasoning,80.8
MiniMax M140k reasoning,80.8
Mistral Large 3,80.7
Qwen3 VL 30BA3B reasoning,80.7
Ring-1T reasoning,80.6
GPT-5 (minimal),80.6
GPT-4.1,80.6
Solar Pro 2 reasoning,80.5
Qwen3 30BA3B 2507 reasoning,80.5
Gemini 2.0 ProExperimental,80.5
GPT-4o (Mar),80.3
Claude 3.7 Sonnet,80.3
o3-mini(high) reasoning,80.2
GPT-5.1,80.1
Claude 4.5 Haiku,80.0
Gemini 2.5Flash reasoning,80.0
GLM-4.6V reasoning,79.9
Grok 3,79.9
Nova 2.0Omni (low) reasoning,79.8
Gemini 2.0FlashThinking exp. (Jan) reasoning,79.8
Qwen3 32B reasoning,79.8
Gemini 2.5Flash-Lite (Sep),79.6
Motif-2-12.7B reasoning,79.6
DeepSeek R1DistillLlama 70B reasoning,79.5
NVIDIANemotron 3Nano reasoning,79.4
GLM-4.7,79.4
Grok CodeFast 1 reasoning,79.3
Ring-flash-2.0 reasoning,79.3
Qwen3 Omni30B A3B reasoning,79.2
Qwen3 VL 32B,79.1
o3-mini reasoning,79.1
Apriel-v1.6-15B-Thinker reasoning,79.0
Nova 2.0Lite (low) reasoning,78.8
Qwen3 Coder 480B,78.8
GLM-4.5V reasoning,78.8
K2-V2 (high) reasoning,78.6
Llama 3.3NemotronSuper 49B reasoning,78.5
HyperCLOVA XSEED Think(32B) reasoning,78.5
GLM-4.6,78.4
Gemini 2.5 Flash,78.3
Gemini 2.0 Flash(exp),78.2
GPT-4.1 mini,78.1
GPT-5 nano(high) reasoning,78.0
Gemini 2.0 Flash,77.9
Qwen3 30B A3B2507,77.7
Ling-flash-2.0,77.7
Qwen3 30B reasoning,77.7
ERNIE 4.5 300BA47B,77.6
gpt-oss-120B(low) reasoning,77.5
GPT-5 mini(minimal),77.5
Qwen3 14B reasoning,77.4
GPT-4o (ChatGPT),77.3
Apriel-v1.5-15B-Thinker reasoning,77.3
Nova 2.0 ProPreview,77.2
GPT-5 nano(medium) reasoning,77.2
Claude 3.5 Sonnet(Oct),77.2
MagistralSmall 1.2 reasoning,76.8
EXAONE 4.0 32B,76.8
Solar Pro 2 reasoning,76.8
Qwen3 VL 30B A3B,76.4
QwQ-32B reasoning,76.4
Olmo 3.1 32BThink reasoning,76.3
Devstral 2,76.2
Qwen2.5 Max,76.2
Qwen3 235B,76.2
K2-V2(medium) reasoning,76.1
Claude 4.5Haiku reasoning,76.0
Mistral Medium 3,76.0
NVIDIANemotronNano 12B v2 VL reasoning,75.9
Gemini 2.5Flash-Lite reasoning,75.9
Olmo 3 32BThink reasoning,75.9
Sonar Pro,75.5
MagistralMedium 1 reasoning,75.3
Llama 4 Scout,75.2
GLM-4.6V,75.2
DeepSeek V3 (Dec),75.2
Claude 3.5 Sonnet(June),75.1
GLM-4.5V,75.1
Solar Pro 2,75.0
Gemini 1.5 Pro(Sep),75.0
Qwen3 VL 8B reasoning,74.9
gpt-oss-20B(high) reasoning,74.8
GPT-4o (Nov),74.8
MagistralSmall 1 reasoning,74.6
MiMo-V2-Flash,74.4
Grok 4.1 Fast,74.3
Nova 2.0 Lite,74.3
Qwen3 4B2507 reasoning,74.3
Qwen3 8B reasoning,74.3
NVIDIANemotronNano 9B V2 reasoning,74.2
o1-mini reasoning,74.2
GPT-4o (May),74.0
DeepSeek R1Distill Qwen14B reasoning,74.0
DeepSeek R10528 Qwen38B reasoning,73.9
NVIDIA NemotronNano 9B V2,73.9
DeepSeek R1Distill Qwen32B reasoning,73.9
Nova Premier,73.3
Llama 3.1 405B,73.2
Grok 4 Fast,73.0
Hermes 4 405B,72.9
Qwen3 32B,72.7
Falcon-H1R-7B reasoning,72.5
Qwen3 Omni 30BA3B,72.5
Solar Pro 2,72.5
Gemini 2.0Flash-Lite (Feb),72.4
Gemini 2.5Flash-Lite,72.4
Qwen2.5 72B,72.0
Nova 2.0 Omni,71.9
gpt-oss-20B(low) reasoning,71.8
Tulu3 405B,71.6
Phi-4,71.4
Llama 3.3 70B,71.3
K2-V2 (low) reasoning,71.3
Command A,71.2
Qwen3 30B,71.0
Grok 2,70.9
Devstral Medium,70.8
Qwen3 Coder 30BA3B,70.6
Grok Beta,70.3
Pixtral Large,70.1
Qwen3 VL 4B reasoning,70.0
Llama 3.3Nemotron Super49B,69.8
Mistral Large 2(Nov),69.7
Qwen2.5 Instruct32B,69.7
Claude 3 Opus,69.6
Qwen3 4B reasoning,69.6
Ministral 3 14B,69.3
Llama NemotronSuper 49B v1.5,69.2
Nova Pro,69.1
Llama 3.1Nemotron 70B,69.0
Sonar,68.9
Qwen3 VL 8B,68.6
Mistral Medium3.1,68.3
Mistral Large 2(Jul),68.3
Mistral Small 3.2,68.1
Gemini 1.5 Flash(Sep),68.0
Devstral Small 2,67.8
Llama 3.1 70B,67.6
Qwen3 14B,67.5
Qwen3 4B 2507,67.2
Llama 3.2 90B(Vision),67.1
Ling-mini-2.0,67.1
Gemma 3 27B,66.9
Reka Flash 3 reasoning,66.9
Hermes 4 70B,66.4
Mistral Small 3.1,65.9
GPT-4.1 nano,65.7
Gemini 1.5 Pro(May),65.7
Olmo 3 7BThink reasoning,65.5
Mistral Small 3,65.2
NVIDIA NemotronNano 12B v2 VL,64.9
GPT-4o mini,64.8
QwQ32B-Preview reasoning,64.8
Qwen3 8B,64.3
Ministral 3 8B,64.2
Qwen2.5 Coder 32B,63.5
Qwen3 VL 4B,63.4
Claude 3.5 Haiku,63.4
Qwen2.5 Turbo,63.3
Devstral Small(May),63.2
Granite 4.0 HSmall,62.4
Devstral Small,62.2
Qwen2 72B,62.2
Mistral Saba,61.1
Gemma 3 12B,59.5
Nova Lite,59.0
Exaone 4.01.2B reasoning,58.8
Qwen3 4B,58.6
Kimi Linear 48BA3B Instruct,58.5
DeepHermes 3 -Mistral 24B,58.0
NVIDIA Nemotron 3Nano,57.9
Claude 3 Sonnet,57.9
Jamba 1.7 Large,57.7
JambaReasoning 3B reasoning,57.7
Llama 3 70B,57.4
Gemini 1.5 Flash(May),57.4
Jamba 1.5 Large,57.2
Hermes 3 -Llama-3.1 70B,57.1
Qwen3 1.7B reasoning,57.0
Gemini 1.5Flash-8B,56.9
Jamba 1.6 Large,56.5
Llama 3.1NemotronNano 4B v1.1 reasoning,55.6
GPT-5 nano(minimal),55.6
DeepSeek R1DistillLlama 8B reasoning,54.3
Mixtral 8x22B,53.7
Nova Micro,53.1
Mistral Small(Sep),52.9
Ministral 3 3B,52.4
Olmo 3 7B,52.2
Mistral Large(Feb),51.5
OLMo 2 32B,51.1
LFM2 8B A1B,50.5
Exaone 4.0 1.2B,50.0
Claude 2.1,49.5
Mistral Medium,49.1
Gemma 3n E4B,48.8
Claude 2.0,48.6
Phi-4 Multimodal,48.5
Gemma 3n E4B(May),48.3
Llama 3.1 8B,47.6
Qwen2.5 Coder 7B,47.3
Granite 3.3 8B,46.8
Phi-4 Mini,46.5
Llama 3.2 11B(Vision),46.4
GPT-3.5 Turbo,46.2
Granite 4.0 Micro,44.7
Phi-3 Mini,43.5
Claude Instant,43.4
Command-R+ (Apr),43.2
Gemini 1.0 Pro,43.1
DeepSeek Coder V2Lite,42.9
LFM 40B,42.5
Mistral Small(Feb),41.9
Gemma 3 4B,41.7
Qwen3 1.7B,41.1
Llama 2 Chat 70B,40.6
Llama 2 Chat 13B,40.6
Llama 3 8B,40.5
DBRX,39.7
Jamba 1.7 Mini,38.8
Mixtral 8x7B,38.7
Gemma 3n E2B,37.8
Molmo 7B-D,37.1
Jamba 1.5 Mini,37.1
Jamba 1.6 Mini,36.7
DeepHermes 3 -Llama-3.1 8B,36.5
Qwen3 0.6B reasoning,34.7
Llama 3.2 3B,34.7
Command-R (Mar),33.8
Granite 4.0 1B,32.5
OpenChat 3.5,31.0
LFM2 2.6B,29.8
OLMo 2 7B,28.2
Granite 4.0 H 1B,27.7
DeepSeek R1Distill Qwen1.5B reasoning,26.9
LFM2 1.2B,25.7
Mistral 7B,24.5
Qwen3 0.6B,23.1
Llama 3.2 1B,20.0
Llama 2 Chat 7B,16.4
Gemma 3 1B,13.5
Granite 4.0 H350M,12.7
Granite 4.0 350M,12.4
Gemma 3 270M,5.5
