Name,Score
claude-opus-4-6-thinking,1504
claude-opus-4-6,1500
gemini-3.1-pro-preview,1493
grok-4.20-beta1,1491
gemini-3-pro,1486
gpt-5.4-high,1484
grok-4.20-beta-0309-reasoning,1483
gpt-5.2-chat-latest-20260210,1480
gemini-3-flash,1474
claude-opus-4-5-20251101-thinking-32k,1474
grok-4.1-thinking,1471
claude-opus-4-5-20251101,1468
gpt-5.4,1466
qwen3.5-max-preview,1465
gpt-5.3-chat-latest,1464
gemini-3-flash (thinking-minimal),1463
claude-sonnet-4-6,1463
dola-seed-2.0-preview,1463
grok-4.1,1461
glm-5,1456
gpt-5.1-high,1455
gpt-5.4-mini-high,1454
kimi-k2.5-thinking,1454
claude-sonnet-4-5-20250929-thinking-32k,1453
claude-sonnet-4-5-20250929,1453
ernie-5.0-0110,1452
qwen3.5-397b-a17b,1450
ernie-5.0-preview-1203,1450
claude-opus-4-1-20250805-thinking-16k,1449
gemini-2.5-pro,1448
claude-opus-4-1-20250805,1447
mimo-v2-pro,1446
gpt-4.5-preview-2025-02-27,1444
chatgpt-4o-latest-20250326,1443
glm-4.7,1443
gpt-5.2-high,1442
gpt-5.2,1440
gpt-5.1,1439
gemini-3.1-flash-lite-preview,1438
qwen3-max-preview,1435
gpt-5-high,1434
kimi-k2.5-instant,1433
o3-2025-04-16,1431
grok-4-1-fast-reasoning,1431
kimi-k2-thinking-turbo,1430
amazon-nova-experimental-chat-26-02-10,1429
gpt-5-chat,1426
glm-4.6,1426
deepseek-v3.2-exp-thinking,1425
qwen3-max-2025-09-23,1424
claude-opus-4-20250514-thinking-16k,1424
deepseek-v3.2,1424
deepseek-v3.2-exp,1423
qwen3-235b-a22b-instruct-2507,1422
deepseek-v3.2-thinking,1422
deepseek-r1-0528,1422
grok-4-fast-chat,1421
ernie-5.0-preview-1022,1419
deepseek-v3.1,1418
qwen3.5-122b-a10b,1418
kimi-k2-0905-preview,1418
kimi-k2-0711-preview,1417
deepseek-v3.1-thinking,1417
deepseek-v3.1-terminus-thinking,1416
qwen3-vl-235b-a22b-instruct,1416
mistral-large-3,1416
deepseek-v3.1-terminus,1416
amazon-nova-experimental-chat-26-01-10,1415
gpt-4.1-2025-04-14,1413
claude-opus-4-20250514,1412
grok-3-preview-02-24,1412
glm-4.5,1411
gemini-2.5-flash,1411
mistral-medium-2508,1411
grok-4-0709,1410
claude-haiku-4-5-20251001,1407
minimax-m2.7,1406
minimax-m2.5,1406
qwen3.5-27b,1405
gemini-2.5-flash-preview-09-2025,1405
grok-4-fast-reasoning,1405
qwen3-235b-a22b-no-thinking,1403
qwen3.5-35b-a3b,1402
o1-2024-12-17,1402
qwen3-next-80b-a3b-instruct,1402
qwen3.5-flash,1401
longcat-flash-chat,1401
gpt-5.4-nano-high,1401
qwen3-235b-a22b-thinking-2507,1400
claude-sonnet-4-20250514-thinking-32k,1399
deepseek-r1,1398
hunyuan-vision-1.5-thinking,1397
amazon-nova-experimental-chat-12-10,1396
qwen3-vl-235b-a22b-thinking,1396
deepseek-v3-0324,1395
mai-1-preview,1393
mimo-v2-flash (non-thinking),1392
step-3.5-flash,1391
o4-mini-2025-04-16,1390
gpt-5-mini-high,1390
claude-sonnet-4-20250514,1389
o1-preview,1388
qwen3-coder-480b-a35b-instruct,1387
mimo-v2-flash (thinking),1387
hunyuan-t1-20250711,1387
claude-3-7-sonnet-20250219-thinking-32k,1387
mistral-medium-2505,1387
minimax-m2.1-preview,1386
qwen3-30b-a3b-instruct-2507,1383
hunyuan-turbos-20250416,1383
gpt-4.1-mini-2025-04-14,1382
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1380
glm-4.6v,1378
trinity-large,1376
qwen3-235b-a22b,1374
gemini-2.5-flash-lite-preview-06-17-thinking,1374
qwen2.5-max,1374
glm-4.5-air,1373
claude-3-5-sonnet-20241022,1372
claude-3-7-sonnet-20250219,1371
qwen3-next-80b-a3b-thinking,1369
glm-4.7-flash,1369
amazon-nova-experimental-chat-11-10,1368
gemma-3-27b-it,1365
nvidia-nemotron-3-super-120b-a12b,1365
o3-mini-high,1363
minimax-m1,1363
grok-3-mini-high,1363
gemini-2.0-flash-001,1360
deepseek-v3,1358
grok-3-mini-beta,1358
mistral-small-2506,1357
intellect-3,1356
gpt-oss-120b,1354
command-a-03-2025,1353
glm-4.5v,1353
gemini-2.0-flash-lite-preview-02-05,1353
gemini-1.5-pro-002,1351
amazon-nova-experimental-chat-10-20,1351
hunyuan-turbos-20250226,1349
mercury-2,1348
o3-mini,1348
step-3,1347
amazon-nova-experimental-chat-10-09,1347
qwen3-32b,1347
llama-3.1-nemotron-ultra-253b-v1,1347
minimax-m2,1347
ling-flash-2.0,1346
qwen-plus-0125,1346
gpt-4o-2024-05-13,1345
nvidia-llama-3.3-nemotron-super-49b-v1.5,1343
glm-4-plus-0111,1343
claude-3-5-sonnet-20240620,1342
gemma-3-12b-it,1341
hunyuan-turbo-0110,1340
nova-2-lite,1337
o1-mini,1337
gpt-5-nano-high,1337
qwq-32b,1336
grok-2-2024-08-13,1335
gpt-4o-2024-08-06,1335
llama-3.1-405b-instruct-bf16,1335
gemini-advanced-0514,1334
step-2-16k-exp-202412,1334
llama-3.1-405b-instruct-fp8,1333
olmo-3.1-32b-instruct,1331
yi-lightning,1328
qwen3-30b-a3b,1328
llama-3.3-nemotron-49b-super-v1,1327
llama-4-maverick-17b-128e-instruct,1327
molmo-2-8b,1326
hunyuan-large-2025-02-10,1326
gpt-4-turbo-2024-04-09,1324
deepseek-v2.5-1210,1323
claude-3-5-haiku-20241022,1323
gemini-1.5-pro-001,1323
llama-4-scout-17b-16e-instruct,1322
gpt-4.1-nano-2025-04-14,1322
claude-3-opus-20240229,1321
ring-flash-2.0,1321
step-1o-turbo-202506,1320
glm-4-plus,1319
llama-3.3-70b-instruct,1318
gpt-oss-20b,1318
gemma-3n-e4b-it,1318
nvidia-nemotron-3-nano-30b-a3b-bf16,1318
qwen-max-0919,1318
gpt-4o-mini-2024-07-18,1317
qwen2.5-plus-1127,1315
athene-v2-chat,1314
mistral-large-2407,1314
gpt-4-0125-preview,1313
gpt-4-1106-preview,1312
hunyuan-standard-2025-02-10,1311
gemini-1.5-flash-002,1309
grok-2-mini-2024-08-13,1308
deepseek-v2.5,1307
mercury,1306
athene-70b-0725,1306
olmo-3-32b-think,1305
mistral-large-2411,1305
magistral-medium-2506,1303
gemma-3-4b-it,1303
mistral-small-3.1-24b-instruct-2503,1303
qwen2.5-72b-instruct,1302
llama-3.1-nemotron-70b-instruct,1298
hunyuan-large-vision,1294
llama-3.1-70b-instruct,1293
amazon-nova-pro-v1.0,1290
jamba-1.5-large,1288
gemma-2-27b-it,1288
reka-core-20240904,1287
ibm-granite-h-small,1287
gpt-4-0314,1286
llama-3.1-tulu-3-70b,1286
llama-3.1-nemotron-51b-instruct,1286
olmo-3.1-32b-think,1286
gemini-1.5-flash-001,1285
claude-3-sonnet-20240229,1280
gemma-2-9b-it-simpo,1279
nemotron-4-340b-instruct,1277
command-r-plus-08-2024,1276
llama-3-70b-instruct,1275
gpt-4-0613,1274
mistral-small-24b-instruct-2501,1274
glm-4-0520,1273
reka-flash-20240904,1271
qwen2.5-coder-32b-instruct,1270
c4ai-aya-expanse-32b,1266
gemma-2-9b-it,1265
deepseek-coder-v2,1264
command-r-plus,1261
qwen2-72b-instruct,1261
claude-3-haiku-20240307,1260
amazon-nova-lite-v1.0,1260
gemini-1.5-flash-8b-001,1258
phi-4,1256
olmo-2-0325-32b-instruct,1251
command-r-08-2024,1249
mistral-large-2402,1242
amazon-nova-micro-v1.0,1240
jamba-1.5-mini,1239
ministral-8b-2410,1237
gemini-pro-dev-api,1234
qwen1.5-110b-chat,1233
hunyuan-standard-256k,1233
reka-flash-21b-20240226-online,1232
qwen1.5-72b-chat,1232
mixtral-8x22b-instruct-v0.1,1229
command-r,1226
reka-flash-21b-20240226,1226
gpt-3.5-turbo-0125,1223
llama-3-8b-instruct,1223
c4ai-aya-expanse-8b,1222
mistral-medium,1222
gemini-pro,1221
llama-3.1-tulu-3-8b,1221
yi-1.5-34b-chat,1213
zephyr-orpo-141b-A35b-v0.1,1212
llama-3.1-8b-instruct,1211
granite-3.1-8b-instruct,1208
qwen1.5-32b-chat,1203
gpt-3.5-turbo-1106,1202
gemma-2-2b-it,1199
phi-3-medium-4k-instruct,1197
mixtral-8x7b-instruct-v0.1,1196
dbrx-instruct-preview,1194
internlm2_5-20b-chat,1191
qwen1.5-14b-chat,1190
wizardlm-70b,1184
deepseek-llm-67b-chat,1184
yi-34b-chat,1183
openchat-3.5-0106,1181
openchat-3.5,1181
granite-3.0-8b-instruct,1181
gemma-1.1-7b-it,1180
snowflake-arctic-instruct,1179
granite-3.1-2b-instruct,1178
tulu-2-dpo-70b,1177
openhermes-2.5-mistral-7b,1174
vicuna-33b,1172
starling-lm-7b-beta,1171
phi-3-small-8k-instruct,1170
llama-2-70b-chat,1170
starling-lm-7b-alpha,1167
llama-3.2-3b-instruct,1166
nous-hermes-2-mixtral-8x7b-dpo,1164
qwq-32b-preview,1156
granite-3.0-2b-instruct,1155
llama2-70b-steerlm-chat,1154
solar-10.7b-instruct-v1.0,1152
dolphin-2.2.1-mistral-7b,1151
mpt-30b-chat,1149
mistral-7b-instruct-v0.2,1149
wizardlm-13b,1148
falcon-180b-chat,1146
qwen1.5-7b-chat,1143
phi-3-mini-4k-instruct-june-2024,1142
llama-2-13b-chat,1141
vicuna-13b,1140
qwen-14b-chat,1138
palm-2,1137
codellama-34b-instruct,1136
gemma-7b-it,1136
zephyr-7b-beta,1130
phi-3-mini-128k-instruct,1128
phi-3-mini-4k-instruct,1128
guanaco-33b,1126
zephyr-7b-alpha,1126
stripedhyena-nous-7b,1120
codellama-70b-instruct,1118
vicuna-7b,1114
gemma-1.1-2b-it,1114
smollm2-1.7b-instruct,1114
llama-3.2-1b-instruct,1111
mistral-7b-instruct,1109
llama-2-7b-chat,1107
gemma-2b-it,1091
qwen1.5-4b-chat,1089
olmo-7b-instruct,1074
koala-13b,1070
alpaca-13b,1067
gpt4all-13b-snoozy,1065
mpt-7b-chat,1061
chatglm3-6b,1055
RWKV-4-Raven-14B,1040
chatglm2-6b,1023
oasst-pythia-12b,1021
chatglm-6b,995
fastchat-t5-3b,990
dolly-v2-12b,979
llama-13b,971
stablelm-tuned-alpha-7b,952
