Name,Score
GPT-5 (high),74.2
GPT-5 (low),73.8
GPT-5 (medium),74.3
GPT-5 (minimal),62.1
GPT-5 Codex (high),73.8
GPT-5 mini (high),70.1
GPT-5 mini (medium),68.8
GPT-5 mini (minimal),58.4
GPT-5 nano (high),61
GPT-5 nano (medium),58.199999999999996
GPT-5 nano (minimal),31.8
GPT-5.1 (Non-reasoning),62.4
GPT-5.1 (high),75.5
GPT-5.1 Codex (high),72.5
GPT-5.1 Codex mini (high),69
GPT-5.2 (Non-reasoning),65.8
GPT-5.2 (medium),74.6
Claude 4 Sonnet (Non-reasoning),62.4
Claude 4 Sonnet (Reasoning),61.8
Claude 4.5 Haiku (Non-reasoning),55.1
Claude 4.5 Haiku (Reasoning),58.3
Claude 4.5 Sonnet (Non-reasoning),65.2
Claude 4.5 Sonnet (Reasoning),68.7
Claude Opus 4.5 (Non-reasoning),71.2
Claude Opus 4.5 (Reasoning),74
Gemini 3 Flash Preview (Non-reasoning),78.60000000000001
Gemini 3 Flash Preview (Reasoning),79.9
Gemini 3 Pro Preview (high),80.2
GLM-4.6V (Non-reasoning),42.199999999999996
GLM-4.6V (Reasoning),48.6
Grok 4,68.8
Grok 4 Fast (Non-reasoning),48.1
Grok 4 Fast (Reasoning),61.8
Grok 4.1 Fast (Non-reasoning),48.4
Grok 4.1 Fast (Reasoning),63.3
Nova 2.0 Lite (Non-reasoning),49
Nova 2.0 Lite (low),57.99999999999999
Nova 2.0 Lite (medium),62.5
Nova 2.0 Omni (Non-reasoning),49.9
Nova 2.0 Omni (low),59.8
Nova 2.0 Omni (medium),61.9
Nova 2.0 Pro Preview (low),62.7
Nova 2.0 Pro Preview (medium),64.5
Claude 3.7 Sonnet (Non-reasoning),60.099999999999994
Gemini 2.5 Flash (Non-reasoning),65.5
Gemini 2.5 Flash (Reasoning),69.1
Gemini 2.5 Flash Preview (Non-reasoning),62
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),70.19999999999999
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),73.1
Gemini 2.5 Flash-Lite (Non-reasoning),54
Gemini 2.5 Flash-Lite (Reasoning),58.199999999999996
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),63.4
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),65
Gemini 2.5 Pro,74.9
Doubao Seed Code,68.10000000000001
o4-mini (high),69.19999999999999
Qwen3 Omni 30B A3B (Reasoning),60.199999999999996
Qwen3 Omni 30B A3B Instruct,55.50000000000001
Qwen3 VL 235B A22B (Reasoning),68.7
Qwen3 VL 235B A22B Instruct,67.60000000000001
Qwen3 VL 30B A3B (Reasoning),61.8
Qwen3 VL 30B A3B Instruct,62.1
Qwen3 VL 32B (Reasoning),63.4
Qwen3 VL 32B Instruct,64.3
Qwen3 VL 4B (Reasoning),52
Qwen3 VL 4B Instruct,43.9
Qwen3 VL 8B (Reasoning),56.599999999999994
Qwen3 VL 8B Instruct,47.3
ERNIE 5.0 Thinking Preview,64.60000000000001
Apriel-v1.5-15B-Thinker,57.099999999999994
Magistral Medium 1.2,59.699999999999996
GLM-4.5V (Non-reasoning),42.8
GLM-4.5V (Reasoning),50.5
GPT-4.1,61.199999999999996
GPT-4.1 mini,58.699999999999996
GPT-4.1 nano,40.1
NVIDIA Nemotron Nano 12B v2 VL (Non-reasoning),44.5
NVIDIA Nemotron Nano 12B v2 VL (Reasoning),52.900000000000006
Mistral Large 3,55.7
Devstral Small 2,44.6
Mistral Medium 3,53
Mistral Medium 3.1,54.2
Mistral Small 3.2,48
Nova Lite,37.8
Nova Pro,44.3
Llama 4 Maverick,62.1
Llama 4 Scout,52.900000000000006
Ministral 14B (Dec '25),49.8
Ministral 8B (Dec '25),46
Molmo 7B-D,24.5
Ministral 3B (Dec '25),38.1
Gemma 3 12B Instruct,37.5
Gemma 3 27B Instruct,48
Gemma 3 4B Instruct,29.9
Gemma 3n E4B Instruct,26.200000000000003
Claude 3.5 Haiku,45.6
o3,70.1
Magistral Small 1.2,55.50000000000001
Gemini 1.5 Flash (Sep '24),48.4
Gemini 1.5 Flash-8B,36.5
Gemini 1.5 Pro (Sep '24),55.00000000000001
Phi-4 Multimodal Instruct,14.499999999999998
GPT-4o (Aug '24),56.3
GPT-4o mini,41.5
DeepSeek-OCR,4.6
Llama 3.2 Instruct 11B (Vision),29.299999999999997
Llama 3.2 Instruct 90B (Vision),39.5
Claude 4.1 Opus (Reasoning),67.9
Pixtral Large,50.6
