Name,Score
GPT-5 (high),75.6
GPT-5 (medium),72.8
o3,69.3
Grok 4,68
Qwen3 235B 2507(Reasoning),67
GPT-5 mini,66
Gemini 2.5 Pro,66
Claude 4 SonnetThinking,64.7
Gemini 2.5Flash(Reasoning),61.7
GPT-4.1,61
GPT-5 (low),58.7
DeepSeek R10528,56
o4-mini (high),55
MiniMax M1 80k,54.3
GPT-4o(ChatGPT),53
Kimi K2,51
gpt-oss-120B(high),50.7
Grok 3 miniReasoning(high),50.3
GLM-4.5,48.3
Llama 4Maverick,46
Gemini 2.5Flash,45.9
Claude 4 Sonnet,44.3
Qwen3 Coder480B,42.3
DeepSeek V30324 (Mar '25),41
GPT-5 nano,40
Claude 4 Opus,36
Llama NemotronSuper 49B v1.5(Reasoning),34
Claude 4 OpusThinking,33.7
Qwen3 235B 2507(Non-reasoning),31.2
Nova Premier,30
Devstral Medium,28.7
Gemini 2.0Flash,28.3
Mistral Medium3,28
Llama 4 Scout,25.8
GPT-5 (minimal),25
Llama NemotronSuper 49B v1.5,22
Mistral Medium3.1,19.7
Nova Pro,19
gpt-oss-20B(high),18.7
Command A,18
Nova Lite,17.7
Mistral Small3.2,17.3
Llama 3.1 8B,15.7
Llama 3.3 70B,15
EXAONE 4.0 32B(Reasoning),14
Mistral Small3.1,13.7
Nova Micro,9.7
Llama NemotronUltra Reasoning,7.3
Gemma 3 12B,6.7
Granite 3.3 8B,4.3
