Name,Score
GPT-5 mini(high),75.4
GPT-5Codex(high),74.1
GPT-5(high),73.1
o3,71.4
GPT-5 mini(medium),71.2
GPT-5(medium),70.6
gpt-oss-120B(high),69.0
o4-mini(high),68.7
GPT-5 nano(high),67.6
GPT-5(low),66.6
GPT-5 nano(medium),65.9
Apriel-v1.5-15B-Thinker,61.7
Qwen3 Next80B A3B,60.7
gpt-oss-20B(high),60.5
Claude 4.5Sonnet,57.3
DeepSeekV3.1Terminus,57.0
Claude 4.1Opus,55.4
Claude 4Sonnet,54.7
DeepSeekV3.2 Exp,54.1
Grok 4,53.7
Claude 4Opus,53.7
Gemini 2.5Flash-Lite(Sep),52.6
Gemini 2.5Flash(Sep),52.3
Qwen3 235B2507,51.2
Qwen3 30B2507,50.7
Grok 4Fast,50.5
Gemini 2.5Flash,50.3
Gemini 2.5Flash-Lite,49.9
Qwen3 4B2507,49.8
Gemini 2.5Pro,48.7
Claude 3.7Sonnet,48.3
Qwen3 Max(Preview),48.0
Llama 3.3 70B,47.1
Qwen3 235B 2507,46.1
Grok 3miniReasoning (high),45.9
GPT-5 (minimal),45.6
GPT-5 mini(minimal),45.6
Claude 4 Sonnet,45.4
GPT-5 (ChatGPT),45.0
MagistralSmall 1.2,44.4
Qwen3 Max,44.1
GLM-4.5,44.1
Gemini 2.5Flash (Sep),43.5
GLM-4.6,43.4
Qwen3 Omni30B A3B,43.4
Claude 4 Opus,43.3
DeepSeek V3.2Exp,43.1
Llama 4Maverick,43.0
MagistralMedium 1.2,43.0
GPT-4.1,43.0
Claude 4.5Sonnet,42.7
Gemini 2.5Flash-Lite(Sep),41.8
MiniMax M180k,41.8
Kimi K2 0905,41.7
DeepSeekV3.1,41.5
Kimi K2,41.5
Qwen3 30B,41.5
Grok CodeFast 1,41.4
DeepSeek V3.1Terminus,41.2
MiniMax M140k,41.2
DeepSeek V30324,41.0
Qwen3 Coder480B,40.5
Qwen3 14B,40.5
Gemini 2.0Flash,40.2
Mistral Medium3.1,39.8
Qwen3 Next 80BA3B,39.7
DeepSeekR1 0528,39.6
Llama 4 Scout,39.5
Llama 3.3Nemotron Super49B,39.5
Mistral Medium3,39.3
Llama 3.1 405B,39.0
Gemini 2.5Flash,39.0
DeepSeekR1 (Jan),39.0
QwQ-32B,38.8
Qwen3 235B,38.7
GPT-4.1 mini,38.3
LlamaNemotronUltra,38.2
Llama 3.3NemotronSuper 49B,38.1
Nova Pro,38.1
DeepSeek V3.1,37.8
Grok 4 Fast,37.7
GLM-4.5-Air,37.6
Solar Pro2,37.1
LlamaNemotronSuper 49B v1.5,37.0
Qwen2.5 72B,36.9
Gemma 3 12B,36.7
GLM-4.6,36.7
Qwen3 235B,36.6
Command A,36.5
EXAONE 4.032B,36.3
Qwen3 32B,36.3
Nova Premier,36.2
Jamba 1.7 Large,35.2
Hermes 4 405B,34.8
DeepSeek V3(Dec),34.8
Devstral Small,34.6
Pixtral Large,34.5
Llama 3.1 70B,34.4
GPT-4o (Nov),34.3
GLM-4.5V,34.2
Nova Lite,34.1
Solar Pro 2,33.7
Mistral Small3.2,33.5
EXAONE 4.0 32B,33.5
Qwen3 4B 2507,33.5
Qwen3 8B,33.5
Qwen3 30B 2507,33.1
Llama NemotronSuper 49B v1.5,32.9
Hermes 4405B,32.7
Qwen3 Coder 30B,32.7
GPT-5 nano(minimal),32.5
Qwen3 4B,32.5
GPT-4.1 nano,32.0
Qwen3 30B,31.9
Gemma 3 27B,31.8
Mistral Large 2(Jul),31.6
Granite 4.0 HSmall,31.5
Gemini 2.5Flash-Lite,31.5
Qwen3 32B,31.5
Hermes 470B,31.3
Qwen3 Omni 30BA3B,31.2
Mistral Large 2(Nov),31.2
GPT-4o mini,31.0
Llama 3.1Nemotron 70B,30.7
Llama 3.2 11B(Vision),30.4
Devstral Medium,29.9
Mistral Small3.1,29.9
Nova Micro,29.4
Hermes 4 70B,29.0
GLM-4.5V,28.6
Llama 3.1 8B,28.6
Qwen3 8B,28.6
Gemma 3 4B,28.3
Gemma 3n E4B,27.9
NVIDIANemotronNano 9B V2,27.6
DeepSeekR1 DistillLlama 70B,27.6
NVIDIA NemotronNano 9B V2,27.1
Qwen3 1.7B,26.9
Mistral Small 3,26.4
Llama 3.2 3B,26.2
Llama 3.1NemotronNano 4B v1.1,25.5
Exaone 4.0 1.2B,25.3
MagistralMedium 1,25.1
Granite 4.0Micro,24.8
MagistralSmall 1,24.8
Phi-3 Mini,23.9
Qwen3 14B,23.9
Phi-4,23.5
Qwen3 0.6B,23.3
Exaone 4.01.2B,23.0
DeepSeekR1 DistillQwen 32B,22.9
Llama 3.2 1B,22.8
Granite 3.3 8B,22.4
DeepSeekR1 DistillQwen 14B,22.1
LFM2 1.2B,22.0
Qwen3 0.6B,21.9
Phi-4 Mini,21.1
Qwen3 1.7B,21.1
Gemma 3 1B,19.9
DeepSeekR1 0528Qwen3 8B,19.9
LFM2 2.6B,19.5
DeepSeekR1 DistillLlama 8B,17.6
DeepSeekR1 DistillQwen 1.5B,13.2
